site	dateTime	TP	TN	SRP	Nitrate	DOC
Inlet1	2013-04-28 15:30:00	34.41	2510.44	13.75	940.19	58.715
Inlet1	2013-04-30 11:25:00	35.63	2407.59	4.77	761.78	47.475
Inlet1	2013-05-01 12:39:00	30.91	2385.02	16.69	632.32	36.295
Inlet1	2013-05-04 17:07:00	21.64	2240.66	11.06	704.49	47.39
Inlet1	2013-05-15 12:05:00	22.99	2467.27	11.06	1046.69	57
Inlet1	2013-05-22 18:25:00	33.38	2734.86	14.05	NA	76.41
Inlet1	2013-05-29 10:20:00	35.7	2937.03	20.34	NA	NA
Inlet1	2013-06-05 12:00:00	30.86	1699.97	27.29	NA	86.22
Inlet1	2013-06-12 10:05:00	53.49	1619.35	10.01	144.81	86.435
Inlet1	2013-06-19 09:00:00	50.6	1684.84	40.69	NA	96.37
Inlet1	2013-06-26 11:00:00	62.75	1781.56	58.3	NA	78.885
Inlet1	2013-07-03 10:00:00	76.9	1716.99	64.69	NA	84.74
Inlet1	2013-07-10 12:30:00	53.4	1684.83	32.59	NA	80.755
Inlet1	2013-07-17 10:10:00	33.36	1360.59	165.52	NA	126.355
Inlet1	2013-07-25 13:30:00	32.54	1224.41	151.41	NA	98.73
Inlet1	2013-07-31 09:25:00	105.36	2892.93	100.86	NA	NA
Inlet1	2013-08-06 15:00:00	107.57	3010.2	89.26	NA	99.64
Inlet1	2013-08-14 09:35:00	NA	NA	112.91	NA	81.51
Inlet1	2013-09-14 00:00:00	160.8	3141.22	129.15	NA	NA
