site	dateTime	Kd
epilimnion	2013-05-15 09:30:00	2.15576228343476
epilimnion	2013-05-22 11:26:00	1.93364530903298
epilimnion	2013-05-29 10:15:00	1.54419055248976
epilimnion	2013-06-05 10:45:00	3.0327891959333
epilimnion	2013-06-12 10:05:00	2.13554009986605
epilimnion	2013-06-19 12:00:00	2.40507655100301
epilimnion	2013-06-26 09:30:00	2.62209592046781
epilimnion	2013-07-03 09:25:00	3.06241837111069
epilimnion	2013-07-10 09:25:00	3.49053019914153
epilimnion	2013-07-17 10:10:00	3.85752293071638
epilimnion	2013-07-25 12:30:00	4.69630976089284
epilimnion	2013-07-31 09:25:00	3.25005202730299
epilimnion	2013-08-06 15:00:00	3.39422080412713
epilimnion	2013-08-14 09:35:00	3.4481266537884
epilimnion	2013-09-14 09:12:00	2.76128154093265
