site	dateTime	TP	TN	SRP	Nitrate	DOC
epilimnion	2013-05-15 09:30:00	26.87	1924.33	7.31	75.83	9.68
epilimnion	2013-05-22 11:26:00	19.42	1850.29	5.07	129.12	11.415
epilimnion	2013-05-29 10:15:00	15.39	1732.16	6.57	124.74	10.37
epilimnion	2013-06-05 10:45:00	15.2	3558.85	4.47	145.01	10.845
epilimnion	2013-06-12 10:05:00	14.92	616.8	14.44	170.61	11.82
epilimnion	2013-06-19 09:00:00	17.5	491.7	1.87	131.25	11.56
epilimnion	2013-06-26 09:30:00	14.77	460.66	5.79	141.1	11.135
epilimnion	2013-07-03 09:25:00	12.6	424.24	5.79	141.19	10.27
epilimnion	2013-07-10 09:25:00	22.33	497.3	7.48	164.66	12.87
epilimnion	2013-07-17 10:10:00	19.45	1751.1	3.62	170.63	9.78
epilimnion	2013-07-25 12:30:00	18.14	2398.29	2.69	156.94	10.985
epilimnion	2013-07-31 09:25:00	15.84	464.15	7.33	144.47	10.265
epilimnion	2013-08-06 15:00:00	23.01	1978.1	13.2	137.7	12.165
epilimnion	2013-08-14 09:53:00	17.23	1980.98	3.62	136.08	5.535
epilimnion	2013-09-14 09:12:00	18.44	1995.69	5.63	126.55	9.97
