depth_m,area_m2,lake
0,15555107.6376127,Trout
3.048,14330067.9484095,Trout
6.096,12186227.2165844,Trout
9.144,10525824.0730109,Trout
12.192,8285548.38874851,Trout
15.24,6899447.62715694,Trout
18.288,5844072.44443867,Trout
21.336,4948201.25786926,Trout
24.384,3823119.11579852,Trout
27.432,2303341.01813678,Trout
30.48,1560052.63747217,Trout
33.528,386032.379154373,Trout
