depth_m,area_m2,lake
0,2300841,Acton
1,2100253,Acton
2,1743976,Acton
3,1468269,Acton
4,1153563,Acton
5,821594,Acton
6,520329,Acton
7,246453,Acton
8,77347,Acton
9,1409,Acton
0,2300841,Acton_2010
1,2100253,Acton_2010
2,1743976,Acton_2010
3,1468269,Acton_2010
4,1153563,Acton_2010
5,821594,Acton_2010
6,520329,Acton_2010
7,246453,Acton_2010
8,77347,Acton_2010
9,1409,Acton_2010
0,713800,Harp
2,661000,Harp
4,586400,Harp
6,517300,Harp
8,447700,Harp
10,381300,Harp
12,324700,Harp
14,278500,Harp
16,239300,Harp
18,206100,Harp
20,176900,Harp
22,152000,Harp
24,124300,Harp
26,96900,Harp
28,74200,Harp
30,56200,Harp
32,39900,Harp
34,26400,Harp
36,14800,Harp
37.5,148,Harp
0,48228,Ovre
0.5,46716,Ovre
1,45228,Ovre
1.5,43548,Ovre
2,41352,Ovre
2.5,37134,Ovre
3,31857,Ovre
3.5,26499,Ovre
4,20074,Ovre
4.5,15836,Ovre
5,13051,Ovre
5.5,9712,Ovre
6,5753,Ovre
6.5,3697,Ovre
7,2569,Ovre
7.5,1778,Ovre
8,1022,Ovre
8.5,271,Ovre
9,91,Ovre
9.5,44,Ovre
10,16,Ovre
0,17564,Mangstrettjarn
0.5,16881,Mangstrettjarn
1,16061,Mangstrettjarn
1.5,15290,Mangstrettjarn
2,14492,Mangstrettjarn
2.5,13711,Mangstrettjarn
3,12918,Mangstrettjarn
3.5,12056,Mangstrettjarn
4,11120,Mangstrettjarn
4.5,10110,Mangstrettjarn
5,8914,Mangstrettjarn
5.5,7089,Mangstrettjarn
6,5166,Mangstrettjarn
6.5,3539,Mangstrettjarn
7,2310,Mangstrettjarn
7.5,1398,Mangstrettjarn
8,400,Mangstrettjarn
8.5,141,Mangstrettjarn
9,55,Mangstrettjarn
9.5,16,Mangstrettjarn
0,9979,Nastjarn
0.5,8978,Nastjarn
1,7926,Nastjarn
1.5,6962,Nastjarn
2,6306,Nastjarn
2.5,5805,Nastjarn
3,5365,Nastjarn
3.5,4944,Nastjarn
4,4514,Nastjarn
4.5,4143,Nastjarn
5,3778,Nastjarn
5.5,3404,Nastjarn
6,2960,Nastjarn
6.5,2472,Nastjarn
7,1829,Nastjarn
