dateTime	ShortWave
2013-06-07 14:00	239.9720001
2013-06-07 15:00	307.7430115
2013-06-07 16:00	356.7869873
2013-06-07 17:00	400.1369934
2013-06-07 18:00	446.4779968
2013-06-07 19:00	430.4379883
2013-06-07 20:00	394.322998
2013-06-07 21:00	425.6279907
2013-06-07 22:00	324.3429871
2013-06-07 23:00	217.9570007
2013-06-08 00:00	133.2359924
2013-06-08 01:00	41.87200165
2013-06-08 02:00	0
2013-06-08 03:00	0
2013-06-08 04:00	0
2013-06-08 05:00	0
2013-06-08 06:00	0
2013-06-08 07:00	0
2013-06-08 08:00	0
2013-06-08 09:00	0
2013-06-08 10:00	0
2013-06-08 11:00	55.90000153
2013-06-08 12:00	119.3069992
2013-06-08 13:00	194.7550049
2013-06-08 14:00	276.5899963
2013-06-08 15:00	627.2689819
2013-06-08 16:00	727.223999
2013-06-08 17:00	815.632019
2013-06-08 18:00	783.6030273
2013-06-08 19:00	755.5969849
2013-06-08 20:00	692.3989868
2013-06-08 21:00	488.026001
2013-06-08 22:00	372.1489868
2013-06-08 23:00	250.397995
2013-06-09 00:00	110.473999
2013-06-09 01:00	35.22999954
2013-06-09 02:00	0
2013-06-09 03:00	0
2013-06-09 04:00	0
2013-06-09 05:00	0
2013-06-09 06:00	0
2013-06-09 07:00	0
2013-06-09 08:00	0
2013-06-09 09:00	0
2013-06-09 10:00	0
2013-06-09 11:00	29.81399918
2013-06-09 12:00	65.60600281
2013-06-09 13:00	107.0039978
2013-06-09 14:00	151.9219971
2013-06-09 15:00	461.6560059
2013-06-09 16:00	535.223999
2013-06-09 17:00	600.3339844
2013-06-09 18:00	557.3070068
2013-06-09 19:00	537.4940186
2013-06-09 20:00	492.6759949
2013-06-09 21:00	373.0190125
2013-06-09 22:00	284.6390076
2013-06-09 23:00	191.7489929
2013-06-10 00:00	64.27200317
2013-06-10 01:00	20.77700043
2013-06-10 02:00	0
2013-06-10 03:00	0
2013-06-10 04:00	0
2013-06-10 05:00	0
2013-06-10 06:00	0
2013-06-10 07:00	0
2013-06-10 08:00	0
2013-06-10 09:00	0
2013-06-10 10:00	0
2013-06-10 11:00	47.36999893
2013-06-10 12:00	168.0160065
2013-06-10 13:00	273.8420105
2013-06-10 14:00	388.7059937
2013-06-10 15:00	614.1560059
2013-06-10 16:00	712.0410156
2013-06-10 17:00	798.7280273
2013-06-10 18:00	813.8179932
2013-06-10 19:00	785.0390015
2013-06-10 20:00	719.7800293
2013-06-10 21:00	564.5540161
2013-06-10 22:00	431.0690002
2013-06-10 23:00	290.7279968
2013-06-11 00:00	152.5330048
2013-06-11 01:00	49.93799973
2013-06-11 02:00	0
2013-06-11 03:00	0
2013-06-11 04:00	0
2013-06-11 05:00	0
2013-06-11 06:00	0
2013-06-11 07:00	0
2013-06-11 08:00	0
2013-06-11 09:00	0
2013-06-11 10:00	0
2013-06-11 11:00	64.97600555
2013-06-11 12:00	221.5639954
2013-06-11 13:00	360.9129944
2013-06-11 14:00	512.210083
2013-06-11 15:00	652.9990234
2013-06-11 16:00	757.1079712
2013-06-11 17:00	849.3599854
2013-06-11 18:00	698.434021
2013-06-11 19:00	673.8660278
2013-06-11 20:00	618.0159912
2013-06-11 21:00	559.2999878
2013-06-11 22:00	427.3200073
2013-06-11 23:00	288.5180054
2013-06-12 00:00	157.1920013
2013-06-12 01:00	52.07300186
2013-06-12 02:00	0
2013-06-12 03:00	0
2013-06-12 04:00	0
2013-06-12 05:00	0
2013-06-12 06:00	0
