year	doy	GPP	R	NEP	GPP_SD	R_SD	gppCoeff_SD	rCoeff_SD	doInit_SD	nll.nll	converge.converge		June 15-Sept 15	number of days with metabolism data	Mean GPP	Median GPP	Max GPP	Min GPP	Total cumulative GPP	Mean R	Median R	Max R	Min R	Total cumulative R	Mean NEP	Median NEP	Max NEP	Min NEP	Total cumulative NEP	GPP-R coupling (r2)
2014	126	0.158441831	-0.316047034	-0.157605202	0.348672309	0.027905353	2.79E-05	0.000454823	0.340287199	-50.1839638	1		15June-30Aug	91	3.636844096	3.56508349	9.984498848	6.2948E-07	330.9528127	-4.070343507	-3.948090007	-11.45739708	-9.37274E-06	-370.4012592	-0.433499412	-0.469036972	3.185923645	-3.018299613	-39.44844646	0.68
2014	127	0.086707585	-0.076308153	0.010399432	0.474319792	0.02427792	3.16E-05	0.00038692	0.699148352	-36.61933832	1																			
2014	128	1.92E-11	-2.05E-10	-1.86E-10	0.36195596	0.06494136	5.83E-05	0.001045824	0.312751532	-39.82842075	0																			
2014	130	1.380329108	-0.639999242	0.740329867	0.695067012	0.51723558	5.75E-05	0.008092068	0.423922524	-33.83140967	1																			
2014	131	0.775882764	-1.90876168	-1.132878916	0.764227368	0.106519306	4.74E-05	0.00163317	0.89886676	-7.46602177	1																			
2014	132	0.00015456	-6.39E-05	9.07E-05	0.683999964	0.348796888	4.57E-05	0.00522923	0.379959236	-0.740176913	1																			
2014	133	1.705451491	-0.976544274	0.728907216	0.772154867	0.404491736	0.000150859	0.005934283	0.437635822	-7.552443072	1																			
2014	134	1.292797709	-1.820046295	-0.527248586	0.756393733	0.88138038	5.21E-05	0.012804318	0.496445073	-2.105754624	0																			
2014	135	5.77E-06	-0.173047898	-0.173042131	0.393937327	0.04567359	3.32E-05	0.00066156	0.354602865	-23.6884708	0																			
2014	136	8.87E-07	-0.442702287	-0.442701399	0.422285091	0.079833084	4.34E-05	0.001157362	0.269409461	-41.36602198	0																			
2014	137	1.171106517	-1.372363339	-0.201256821	0.651259365	0.474301208	3.93E-05	0.006807245	0.339239977	-35.07644569	1																			
2014	138	0.597444482	-1.465447311	-0.86800283	0.521334438	0.708997558	3.28E-05	0.010268762	0.255536212	-19.5157869	0																			
2014	139	0.322375606	-0.241446701	0.080928906	0.673727188	0.513467174	4.37E-05	0.00747818	0.326612917	-12.35266333	0																			
2014	141	1.253952892	-0.854259563	0.399693328	0.739856306	0.357299334	5.43E-05	0.00514354	0.450132815	-5.782065859	1																			
