site	dateTime	TN	TP	DOC	PO4	NO3	NH4
Övre_Björntjärn	2012-03-20 14:00:00	473	19	18.3	7	63	26
Övre_Björntjärn	2012-06-04 14:00:00	398	23	16.2	7	5	3
Övre_Björntjärn	2012-06-18 14:00:00	351	16	17.2	0	4	3
Övre_Björntjärn	2012-07-02 14:00:00	382	23	18.1	1	2	1
Övre_Björntjärn	2012-07-16 14:00:00	433	18	20.7	1	4	12
Övre_Björntjärn	2012-07-31 14:00:00	457	19	21.3	2	7	9
Övre_Björntjärn	2012-08-11 14:00:00	443	25	23.2	0	4	7
Övre_Björntjärn	2012-08-27 14:00:00	437	23	21.2	10	10	22
Övre_Björntjärn	2012-09-10 14:00:00	494	25	28.7	8	7	5
Övre_Björntjärn	2012-09-25 14:00:00	498	26	27.4	7	10	14
Övre_Björntjärn	2012-10-08 14:00:00	579	27	30.7	10	19	8
