site	dateTime	TN	TP	DOC	PO4	NO3	NH4
Nästjärn	2013-04-05 10:00:00	290	3	8.7	1	55	2
Nästjärn	2013-05-14 10:00:00	213	4	8.3	1	2	0
Nästjärn	2013-05-29 10:00:00	147	7	7.4	2	2	6
Nästjärn	2013-06-12 10:00:00	263	3	8.1	0	0	0
Nästjärn	2013-06-26 10:00:00	229	4	9.0	0	1	5
Nästjärn	2013-07-10 10:00:00	315	4	9.2	1	0	0
Nästjärn	2013-07-24 10:00:00	247	3	7.9	0	5	4
Nästjärn	2013-08-07 10:00:00	344	5	8.2	3	3	10
Nästjärn	2013-08-21 10:00:00	499	2	7.6	1	1	0
Nästjärn	2013-09-04 10:00:00	372	2	7.5	0	19	6
Nästjärn	2013-09-18 10:00:00	335	4	8.3	1	3	9
Nästjärn	2013-10-01 10:00:00	245	5	8.4	0	5	3
Nästjärn	2013-10-14 10:00:00	307	4	8.6	4	12	28

