date	z_mix_min	z_mix_max	z_mix_median	z_mix_mean
2013-05-15	0.1	0.1	0.1	0.1
2013-05-16	0.1	0.1	0.1	0.1
2013-05-17	0.1	0.1	0.1	0.1
2013-05-18	0.1	0.1	0.1	0.1
2013-05-19	0.1	0.1	0.1	0.1
2013-05-20	0.1	0.1	0.1	0.1
2013-05-21	0.1	0.1	0.1	0.1
2013-05-22	0.1	0.1	0.1	0.1
2013-05-23	0.1	0.1	0.1	0.1
2013-05-24	0.1	0.1	0.1	0.1
2013-05-25	0.1	0.1	0.1	0.1
2013-05-26	0.1	0.1	0.1	0.1
2013-05-27	0.1	0.1	0.1	0.1
2013-05-28	0.1	0.1	0.1	0.1
2013-05-29	0.1	7	0.1	0.195833333333333
2013-05-30	0.1	0.1	0.1	0.1
2013-05-31	0.1	0.1	0.1	0.1
2013-06-01	0.1	0.1	0.1	0.1
2013-06-02	0.1	0.81412850755979	0.1	0.114824316086033
2013-06-03	0.1	0.1	0.1	0.1
2013-06-04	0.1	0.1	0.1	0.1
2013-06-05	0.1	1.5	0.1	0.27219330543443
2013-06-06	0.1	0.954797084176082	0.873609635609681	0.808429724268904
2013-06-07	0.1	0.990412760285955	0.1	0.468565246029574
2013-06-08	0.1	0.1	0.1	0.1
2013-06-09	0.1	0.1	0.1	0.1
2013-06-10	0.1	0.1	0.1	0.1
2013-06-11	0.1	0.1	0.1	0.1
2013-06-12	0.1	1.5	0.1	0.109722222222222
2013-06-13	0.1	0.1	0.1	0.1
2013-06-14	0.1	0.1	0.1	0.1
2013-06-15	0.1	0.1	0.1	0.1
2013-06-16	0.1	0.1	0.1	0.1
2013-06-17	0.1	0.1	0.1	0.1
2013-06-18	0.1	0.1	0.1	0.1
2013-06-19	0.1	0.1	0.1	0.1
2013-06-20	0.1	0.1	0.1	0.1
2013-06-21	0.1	0.1	0.1	0.1
2013-06-22	0.1	0.1	0.1	0.1
2013-06-23	0.1	0.1	0.1	0.1
2013-06-24	0.1	0.1	0.1	0.1
2013-06-25	0.1	0.1	0.1	0.1
2013-06-26	0.1	0.1	0.1	0.1
2013-06-27	0.1	0.1	0.1	0.1
2013-06-28	0.1	0.1	0.1	0.1
2013-06-29	0.1	0.1	0.1	0.1
2013-06-30	0.1	0.1	0.1	0.1
2013-07-01	0.1	0.1	0.1	0.1
2013-07-02	0.1	0.1	0.1	0.1
2013-07-03	0.1	0.1	0.1	0.1
2013-07-04	0.1	0.1	0.1	0.1
2013-07-05	0.1	0.1	0.1	0.1
2013-07-06	0.1	0.1	0.1	0.1
2013-07-07	0.1	0.1	0.1	0.1
2013-07-08	0.1	0.1	0.1	0.1
2013-07-09	0.1	0.1	0.1	0.1
2013-07-10	0.1	1.5	0.1	0.324147086629723
2013-07-11	0.1	0.868277411385224	0.1	0.329027572194506
2013-07-12	0.1	0.1	0.1	0.1
2013-07-13	0.1	0.1	0.1	0.1
2013-07-14	0.1	0.1	0.1	0.1
2013-07-15	0.1	0.1	0.1	0.1
