site	dateTime	TP	TN	DOC	NH4	NO3	TKN
HP6A	2013-01-11 00:00:00	5	239	8	2	20	219
HP6A	2013-01-14 00:00:00	4.8	237	6.9	2	30	207
HP6A	2013-01-25 00:00:00	3.8	224	7.3	4	6	218
HP6A	2013-02-04 00:00:00	3.2	227	6.4	2	16	211
HP6A	2013-02-19 00:00:00	4	289	7.1	4	14	275
HP6A	2013-03-06 00:00:00	4.8	255	7.5	6	14	241
HP6A	2013-03-12 00:00:00	7.2	338	6.8	8	96	242
HP6A	2013-03-19 00:00:00	3.8	197	6.4	2	12	185
HP6A	2013-03-26 00:00:00	3.8	232	6	2	12	220
HP6A	2013-04-02 00:00:00	3.4	203	5.2	4	32	171
HP6A	2013-04-02 00:00:00	3.4	207	5	2	32	175
HP6A	2013-04-08 00:00:00	NA	195	4.8	4	38	157
HP6A	2013-04-08 00:00:00	3.2	NA	NA	NA	NA	NA
HP6A	2013-04-09 00:00:00	4.4	215	5.7	2	50	165
HP6A	2013-04-15 00:00:00	3.2	192	5.3	2	22	170
HP6A	2013-04-19 00:00:00	9.6	283	5	4	48	235
HP6A	2013-04-22 00:00:00	4.6	183	5.7	2	14	169
HP6A	2013-04-30 00:00:00	5.8	198	6.6	2	4	194
HP6A	2013-05-07 00:00:00	9.4	384	11.9	2	4	380
HP6A	2013-05-14 00:00:00	6	313	10	24	2	311
HP6A	2013-05-14 00:00:00	6	306	10.1	24	2	304
HP6A	2013-05-21 00:00:00	13	408	13.4	4	2	406
HP6A	2013-05-28 00:00:00	5.8	291	9.7	2	2	289
HP6A	2013-06-04 00:00:00	6.4	324	11.3	4	2	322
HP6A	2013-06-04 00:00:00	7	319	11.1	6	2	317
HP6A	2013-06-12 00:00:00	8.8	363	13	2	2	361
HP6A	2013-06-19 00:00:00	7.2	324	11.5	4	2	322
HP6A	2013-06-25 00:00:00	18.6	549	17.2	14	6	543
HP6A	2013-09-26 00:00:00	14.4	650	21.2	22	8	642
HP6A	2013-10-08 00:00:00	23.2	788	28.2	8	12	776
HP6A	2013-10-18 00:00:00	12.6	627	23	6	4	623
HP6A	2013-10-28 00:00:00	5.2	328	11.2	10	4	324
HP6A	2013-11-07 00:00:00	5	272	9.4	4	2	270
HP6A	2013-11-21 00:00:00	3.8	233	7.7	2	4	229
HP6A	2013-11-21 00:00:00	3.4	234	7.5	2	4	230
HP6A	2013-11-28 00:00:00	3.6	224	7.6	4	4	220
HP6A	2013-12-05 00:00:00	4.6	267	7.7	6	16	251
HP6A	2013-12-16 00:00:00	3.8	258	7.4	6	12	246
							
							
							
							
							
							
							
