site	dateTime	TP	TN	DOC	NH4	NO3	TKN
HP4	2013-01-11 00:00:00	5.2	268	5.8	4	90	178
HP4	2013-01-11 00:00:00	5	284	5.8	4	90	194
HP4	2013-01-14 00:00:00	6.4	268	8.1	8	36	232
HP4	2013-01-25 00:00:00	4.6	325	7.2	8	50	275
HP4	2013-02-04 00:00:00	5	265	6.4	10	60	205
HP4	2013-02-19 00:00:00	4.4	288	5.9	8	62	226
HP4	2013-03-06 00:00:00	5.2	276	6.1	14	76	200
HP4	2013-03-12 00:00:00	12.2	345	7.6	34	50	295
HP4	2013-03-19 00:00:00	4.8	245	6.3	12	54	191
HP4	2013-03-26 00:00:00	4	231	4.8	4	62	169
HP4	2013-04-02 00:00:00	5.6	256	5.5	26	64	192
HP4	2013-04-08 00:00:00	4.6	266	4.8	14	68	198
HP4	2013-04-09 00:00:00	9.2	294	6.2	24	50	244
HP4	2013-04-15 00:00:00	5	348	5.6	4	54	294
HP4	2013-04-15 00:00:00	4.6	238	5.6	6	54	184
HP4	2013-04-19 00:00:00	24.2	325	5.7	30	42	283
HP4	2013-04-22 00:00:00	6.2	229	5	6	36	193
HP4	2013-04-30 00:00:00	6.8	206	5.3	4	28	178
HP4	2013-05-07 00:00:00	6.4	279	5.2	2	30	249
HP4	2013-05-14 00:00:00	5.6	195	5	24	8	187
HP4	2013-05-21 00:00:00	13.6	277	7.1	4	24	253
HP4	2013-05-28 00:00:00	5.8	205	5.2	2	22	183
HP4	2013-06-04 00:00:00	8.4	252	7	4	18	234
HP4	2013-06-12 00:00:00	9.6	269	7.1	2	36	233
HP4	2013-06-12 00:00:00	9.4	279	7.1	2	38	241
HP4	2013-06-19 00:00:00	10.6	273	7.9	6	22	251
HP4	2013-06-25 00:00:00	11.2	324	6.4	4	76	248
HP4	2013-07-09 00:00:00	13	356	7.4	2	118	238
HP4	2013-07-16 00:00:00	12.2	388	6.4	8	156	232
HP4	2013-07-25 00:00:00	15.4	393	7	6	102	291
HP4	2013-08-09 00:00:00	12.2	470	7.2	6	74	396
HP4	2013-08-27 00:00:00	12.8	370	10.1	6	44	326
HP4	2013-08-27 00:00:00	13	373	10.1	6	38	335
HP4	2013-09-06 00:00:00	8.2	311	6.8	4	88	223
HP4	2013-09-12 00:00:00	9.6	317	8.2	12	54	263
HP4	2013-09-16 00:00:00	9.2	318	9.8	12	18	300
HP4	2013-09-26 00:00:00	7.6	254	7.3	8	28	226
HP4	2013-10-08 00:00:00	13.6	353	9.5	6	8	345
HP4	2013-10-18 00:00:00	11.4	365	9.5	8	4	361
HP4	2013-10-28 00:00:00	10.4	400	10.8	36	36	364
HP4	2013-11-07 00:00:00	7.8	304	10.8	18	30	274
HP4	2013-11-21 00:00:00	8.2	320	9	10	46	274
HP4	2013-11-28 00:00:00	5.8	277	7.1	4	56	221
HP4	2013-12-05 00:00:00	5.8	277	6.3	6	72	205
HP4	2013-12-16 00:00:00	4.6	269	5.6	6	84	185
