site	dateTime	TP	TN	DOC	NH4	NO3	TKN
HP6	2013-01-11 00:00:00	8.2	414	5.5	18	184	230
HP6	2013-01-14 00:00:00	7.2	408	6.2	2	210	198
HP6	2013-01-25 00:00:00	5.4	362	5.2	18	154	208
HP6	2013-02-04 00:00:00	5.6	377	5.4	8	164	213
HP6	2013-02-19 00:00:00	5.4	414	5	20	164	250
HP6	2013-03-06 00:00:00	6.2	386	5.2	22	168	218
HP6	2013-03-12 00:00:00	9.6	517	6.4	18	246	271
HP6	2013-03-19 00:00:00	5.8	NA	NA	NA	NA	NA
HP6	2013-03-19 00:00:00	6.2	364	5.4	10	172	192
HP6	2013-03-19 00:00:00	NA	360	5.3	12	166	194
HP6	2013-03-26 00:00:00	9.8	410	4.9	16	196	214
HP6	2013-04-02 00:00:00	6.2	346	4.4	6	158	188
HP6	2013-04-08 00:00:00	6.6	421	4.9	8	188	233
HP6	2013-04-09 00:00:00	9.2	424	5.4	4	240	184
HP6	2013-04-15 00:00:00	6.4	377	5	4	184	193
HP6	2013-04-19 00:00:00	13.8	NA	NA	NA	NA	NA
HP6	2013-04-19 00:00:00	NA	385	6	10	152	233
HP6	2013-04-22 00:00:00	8	332	5.4	10	138	194
HP6	2013-04-30 00:00:00	8.4	262	5.9	10	34	228
HP6	2013-05-07 00:00:00	20	398	8.6	8	22	376
HP6	2013-05-14 00:00:00	11.8	316	7.1	34	16	300
HP6	2013-05-21 00:00:00	19.8	396	9.8	16	20	376
HP6	2013-05-28 00:00:00	12.6	296	7.1	16	16	280
HP6	2013-06-04 00:00:00	10.6	317	8.7	10	16	301
HP6	2013-06-12 00:00:00	15	364	9.9	18	12	352
HP6	2013-06-19 00:00:00	13	326	9.5	14	16	310
HP6	2013-06-25 00:00:00	30.8	580	12.2	58	14	566
HP6	2013-08-09 00:00:00	29.2	700	13.1	64	18	682
HP6	2013-08-27 00:00:00	22.2	529	10.4	24	14	515
HP6	2013-09-12 00:00:00	28.8	589	12.3	70	18	571
HP6	2013-09-16 00:00:00	18.4	495	10.6	38	36	459
HP6	2013-09-26 00:00:00	18.2	495	11.5	94	24	471
HP6	2013-09-26 00:00:00	18.4	500	11.9	94	22	478
HP6	2013-10-08 00:00:00	19.2	764	17.4	8	26	738
HP6	2013-10-18 00:00:00	14.8	466	13.5	14	16	450
HP6	2013-10-28 00:00:00	7.6	340	8.8	16	54	286
HP6	2013-11-07 00:00:00	7.4	304	8.5	8	36	268
HP6	2013-11-21 00:00:00	5.8	303	6.2	12	82	221
HP6	2013-11-28 00:00:00	5.8	326	5.6	22	102	224
HP6	2013-12-05 00:00:00	7.4	378	5.5	26	140	238
HP6	2013-12-16 00:00:00	9	376	5.4	26	130	246
							
							
							
							
