site	dateTime	TP	TN	DOC	NH4	NO3	TKN
HP5	2013-01-14 00:00:00	8.4	341	8.1	10	86	255
HP5	2013-01-25 00:00:00	6.8	352	9.5	20	58	294
HP5	2013-02-04 00:00:00	6	305	9.7	10	48	257
HP5	2013-02-19 00:00:00	7.6	413	8.6	22	72	341
HP5	2013-03-06 00:00:00	9.2	385	8.9	32	72	313
HP5	2013-03-12 00:00:00	10.8	437	8.6	28	108	329
HP5	2013-03-19 00:00:00	6.8	327	9.2	10	48	279
HP5	2013-03-26 00:00:00	7.2	353	8.9	14	60	293
HP5	2013-04-02 00:00:00	6.8	NA	NA	NA	NA	NA
HP5	2013-04-02 00:00:00	NA	271	6.2	6	76	195
HP5	2013-04-08 00:00:00	5.6	282	7	12	64	218
HP5	2013-04-09 00:00:00	7	302	5.7	8	104	198
HP5	2013-04-09 00:00:00	7.2	298	5.6	8	100	198
HP5	2013-04-15 00:00:00	6	284	6.6	2	58	226
HP5	2013-04-19 00:00:00	12	312	5.8	12	76	236
HP5	2013-04-22 00:00:00	8	242	6.9	4	22	220
HP5	2013-04-30 00:00:00	8.8	276	8.5	2	6	270
HP5	2013-05-07 00:00:00	15.6	473	13.9	2	6	467
HP5	2013-05-14 00:00:00	10.2	406	12.6	24	4	402
HP5	2013-05-21 00:00:00	18	515	16.5	10	10	505
HP5	2013-05-21 00:00:00	17.8	515	16.5	8	10	505
HP5	2013-05-28 00:00:00	16.6	450	13.7	6	2	448
HP5	2013-06-04 00:00:00	18.6	634	20.4	12	4	630
HP5	2013-06-12 00:00:00	24.8	603	18	10	8	595
HP5	2013-06-19 00:00:00	15.4	630	19.2	16	8	622
HP5	2013-06-25 00:00:00	51	1001	29.8	12	24	977
HP5	2013-07-09 00:00:00	63.2	1036	24.4	24	26	1010
HP5	2013-07-16 00:00:00	51.6	1180	25.4	8	20	1160
HP5	2013-07-25 00:00:00	44.4	1008	26	28	20	988
HP5	2013-08-09 00:00:00	31.8	978	24	26	10	968
HP5	2013-08-27 00:00:00	36.8	1036	26.4	48	6	1030
HP5	2013-09-06 00:00:00	34.6	1032	33.8	38	22	1010
HP5	2013-09-12 00:00:00	23.8	876	26.4	18	14	862
HP5	2013-09-16 00:00:00	20.2	811	25.4	16	8	803
HP5	2013-09-26 00:00:00	16	714	24.8	12	12	702
HP5	2013-10-08 00:00:00	23.4	841	31.8	10	20	821
HP5	2013-10-18 00:00:00	15.6	666	24.8	10	8	658
HP5	2013-10-28 00:00:00	8.8	504	20.8	12	8	496
HP5	2013-11-07 00:00:00	6.6	352	13	6	4	348
HP5	2013-11-21 00:00:00	5.2	312	11.5	2	8	304
HP5	2013-11-28 00:00:00	6.2	316	9.9	8	22	294
HP5	2013-11-28 00:00:00	6.4	324	10.1	6	22	302
HP5	2013-12-05 00:00:00	7.4	342	9.5	14	38	304
HP5	2013-12-16 00:00:00	8.8	382	9.1	20	52	330
							
