site	dateTime	TP	TN	DOC	NH4	NO3	TKN
HP3A	2013-01-11 00:00:00	2.4	245	3	4	94	151
HP3A	2013-01-14 00:00:00	2.6	293	3.8	2	150	143
HP3A	2013-01-25 00:00:00	1.8	222	2.8	4	90	132
HP3A	2013-02-04 00:00:00	2.4	264	3.5	2	118	146
HP3A	2013-02-19 00:00:00	2	240	2.7	2	80	160
HP3A	2013-02-19 00:00:00	1.6	242	2.6	2	80	162
HP3A	2013-03-06 00:00:00	1.8	NA	NA	NA	NA	NA
HP3A	2013-03-06 00:00:00	NA	190	2.5	4	72	118
HP3A	2013-03-12 00:00:00	6.4	369	4	4	184	185
HP3A	2013-03-19 00:00:00	2	222	3.2	2	92	130
HP3A	2013-03-26 00:00:00	2.8	217	2.4	2	72	145
HP3A	2013-04-02 00:00:00	2	202	2.4	2	78	124
HP3A	2013-04-08 00:00:00	2.4	204	2.5	2	80	124
HP3A	2013-04-09 00:00:00	3.8	250	3.4	2	104	146
HP3A	2013-04-15 00:00:00	3.6	191	3.1	2	72	119
HP3A	2013-04-19 00:00:00	25.4	309	4.3	2	122	187
HP3A	2013-04-22 00:00:00	3	248	3.6	2	60	188
HP3A	2013-04-30 00:00:00	2.8	162	3.5	4	14	148
HP3A	2013-05-07 00:00:00	3.8	200	3.4	2	10	190
HP3A	2013-05-14 00:00:00	3.2	162	3.8	24	2	160
HP3A	2013-05-21 00:00:00	15	243	5	8	2	241
HP3A	2013-05-28 00:00:00	4	152	3.9	4	2	150
HP3A	2013-06-04 00:00:00	3	174	4.4	4	2	172
HP3A	2013-06-12 00:00:00	3.4	158	3.8	2	8	150
HP3A	2013-06-19 00:00:00	4.2	178	4.4	4	8	170
HP3A	2013-06-25 00:00:00	5	182	3.5	4	22	160
HP3A	2013-07-09 00:00:00	5.6	214	1.9	12	88	126
HP3A	2013-07-16 00:00:00	11	261	2.2	26	94	167
HP3A	2013-07-25 00:00:00	5.6	210	1.8	12	88	122
HP3A	2013-08-21 00:00:00	7.2	229	1.6	22	88	141
HP3A	2013-08-27 00:00:00	7.4	273	2.1	34	72	201
HP3A	2013-09-12 00:00:00	9.8	253	2.6	20	72	181
HP3A	2013-09-16 00:00:00	5	184	2.5	24	42	142
HP3A	2013-09-26 00:00:00	4	162	2.6	8	32	130
HP3A	2013-10-08 00:00:00	4.6	214	5.1	6	10	204
HP3A	2013-10-18 00:00:00	5.4	273	5.9	6	2	271
HP3A	2013-10-28 00:00:00	3.4	225	5.3	8	26	199
HP3A	2013-10-28 00:00:00	2.8	223	5.2	8	26	197
HP3A	2013-11-07 00:00:00	3.4	236	4.7	4	42	194
HP3A	2013-11-21 00:00:00	2.2	223	4.1	2	70	153
HP3A	2013-11-28 00:00:00	1.8	244	3.4	2	94	150
HP3A	2013-12-05 00:00:00	3	274	3.3	4	128	146
HP3A	2013-12-16 00:00:00	1.8	273	2.8	4	134	139
							
							
