site	dateTime	TP	TN	DOC	NH4	NO3	TKN
HP3	2013-01-11 00:00:00	7.4	344	8.1	14	64	280
HP3	2013-01-14 00:00:00	8.2	315	8.5	2	46	269
HP3	2013-01-25 00:00:00	6.2	307	7.7	10	56	251
HP3	2013-02-04 00:00:00	6	306	7.4	6	62	244
HP3	2013-02-19 00:00:00	7	NA	NA	NA	NA	NA
HP3	2013-02-19 00:00:00	NA	344	7.5	12	58	286
HP3	2013-03-06 00:00:00	8.8	336	8	16	52	284
HP3	2013-03-12 00:00:00	11.6	388	8.3	8	98	290
HP3	2013-03-19 00:00:00	7.4	306	7.1	8	62	244
HP3	2013-03-26 00:00:00	9.6	335	6.8	8	64	271
HP3	2013-03-26 00:00:00	10	349	6.8	8	60	289
HP3	2013-04-02 00:00:00	6.6	278	6.5	4	50	228
HP3	2013-04-08 00:00:00	7	269	6	6	60	209
HP3	2013-04-09 00:00:00	12.2	291	6.9	2	70	221
HP3	2013-04-15 00:00:00	6.8	258	6	2	62	196
HP3	2013-04-19 00:00:00	14.4	334	5.8	4	108	226
HP3	2013-04-22 00:00:00	6.6	281	6	2	54	227
HP3	2013-04-30 00:00:00	9.2	301	7.9	8	26	275
HP3	2013-05-07 00:00:00	18.2	501	12.8	4	16	485
HP3	2013-05-14 00:00:00	12.4	389	11.5	26	8	381
HP3	2013-05-21 00:00:00	25	508	14.4	16	12	496
HP3	2013-05-28 00:00:00	13.4	375	11.9	8	8	367
HP3	2013-06-04 00:00:00		425	13.3	10	8	417
HP3	2013-06-04 00:00:00	13.4	NA	NA	NA	NA	NA
HP3	2013-06-12 00:00:00	18.2	443	14.8	8	10	433
HP3	2013-06-19 00:00:00	15	443	14	10	10	433
HP3	2013-06-25 00:00:00	29.6	604	17.6	28	10	594
HP3	2013-07-09 00:00:00	NA	1618	29.2	204	38	1580
HP3	2013-08-09 00:00:00	62.4	1256	24.6	116	26	1230
HP3	2013-08-09 00:00:00	62.8	1228	24.6	110	28	1200
HP3	2013-08-27 00:00:00	30.2	730	21.6	42	12	718
HP3	2013-09-06 00:00:00	57.8	984	24.2	134	50	934
HP3	2013-09-12 00:00:00	58.8	830	23.4	30	20	810
HP3	2013-09-16 00:00:00	43.2	700	20.8	30	12	688
HP3	2013-09-16 00:00:00	44	664	21	28	14	650
HP3	2013-09-26 00:00:00	38.6	692	24.4	10	18	674
HP3	2013-10-08 00:00:00	37.6	809	27.8	8	24	785
HP3	2013-10-18 00:00:00	21.6	666	21.2	22	12	654
HP3	2013-10-28 00:00:00	10.6	380	10.9	16	28	352
HP3	2013-11-07 00:00:00	8.8	348	9.9	6	26	322
HP3	2013-11-21 00:00:00	6.6	307	7.8	12	40	267
HP3	2013-11-28 00:00:00	8	327	7.6	20	48	279
HP3	2013-12-05 00:00:00	10	371	7.6	28	68	303
HP3	2013-12-16 00:00:00	8.8	363	7.6	26	68	295
							
