datetime	schmidt.stability
2013-04-30 13:00:00	NA
2013-04-30 13:10:00	NA
2013-04-30 13:20:00	NA
2013-04-30 13:30:00	NA
2013-04-30 13:40:00	NA
2013-04-30 13:50:00	NA
2013-04-30 14:00:00	NA
2013-04-30 14:10:00	NA
2013-04-30 14:20:00	NA
2013-04-30 14:30:00	NA
2013-04-30 14:40:00	NA
2013-04-30 14:50:00	NA
2013-04-30 15:00:00	NA
2013-04-30 15:10:00	NA
2013-04-30 15:20:00	NA
2013-04-30 15:30:00	NA
2013-04-30 15:40:00	NA
2013-04-30 15:50:00	NA
2013-04-30 16:00:00	NA
2013-04-30 16:10:00	NA
2013-04-30 16:20:00	NA
2013-04-30 16:30:00	NA
2013-04-30 16:40:00	NA
2013-04-30 16:50:00	NA
2013-04-30 17:00:00	NA
2013-04-30 17:10:00	NA
2013-04-30 17:20:00	NA
2013-04-30 17:30:00	NA
2013-04-30 17:40:00	NA
2013-04-30 17:50:00	NA
2013-04-30 18:00:00	NA
2013-04-30 18:10:00	NA
2013-04-30 18:20:00	NA
2013-04-30 18:30:00	NA
2013-04-30 18:40:00	NA
2013-04-30 18:50:00	NA
2013-04-30 19:00:00	NA
2013-04-30 19:10:00	NA
2013-04-30 19:20:00	NA
2013-04-30 19:30:00	NA
2013-04-30 19:40:00	NA
2013-04-30 19:50:00	NA
2013-04-30 20:00:00	NA
2013-04-30 20:10:00	NA
2013-04-30 20:20:00	NA
2013-04-30 20:30:00	NA
2013-04-30 20:40:00	NA
2013-04-30 20:50:00	NA
2013-04-30 21:00:00	NA
2013-04-30 21:10:00	NA
2013-04-30 21:20:00	NA
2013-04-30 21:30:00	NA
2013-04-30 21:40:00	NA
2013-04-30 21:50:00	NA
2013-04-30 22:00:00	NA
2013-04-30 22:10:00	NA
2013-04-30 22:20:00	NA
2013-04-30 22:30:00	NA
2013-04-30 22:40:00	NA
2013-04-30 22:50:00	NA
2013-04-30 23:00:00	NA
2013-04-30 23:10:00	NA
2013-04-30 23:20:00	NA
2013-04-30 23:30:00	NA
2013-04-30 23:40:00	NA
2013-04-30 23:50:00	NA
2013-05-01 00:00:00	NA
2013-05-01 00:10:00	NA
2013-05-01 00:20:00	NA
2013-05-01 00:30:00	NA
2013-05-01 00:40:00	NA
2013-05-01 00:50:00	NA
2013-05-01 01:00:00	NA
2013-05-01 01:10:00	NA
2013-05-01 01:20:00	NA
2013-05-01 01:30:00	NA
2013-05-01 01:40:00	NA
2013-05-01 01:50:00	NA
2013-05-01 02:00:00	NA
2013-05-01 02:10:00	NA
2013-05-01 02:20:00	NA
2013-05-01 02:30:00	NA
2013-05-01 02:40:00	NA
2013-05-01 02:50:00	NA
2013-05-01 03:00:00	NA
2013-05-01 03:10:00	NA
2013-05-01 03:20:00	NA
2013-05-01 03:30:00	NA
2013-05-01 03:40:00	NA
2013-05-01 03:50:00	NA
2013-05-01 04:00:00	NA
2013-05-01 04:10:00	NA
2013-05-01 04:20:00	NA
2013-05-01 04:30:00	NA
2013-05-01 04:40:00	NA
2013-05-01 04:50:00	NA
2013-05-01 05:00:00	NA
2013-05-01 05:10:00	NA
2013-05-01 05:20:00	NA
2013-05-01 05:30:00	NA
2013-05-01 05:40:00	NA
2013-05-01 05:50:00	NA
2013-05-01 06:00:00	NA
2013-05-01 06:10:00	NA
2013-05-01 06:20:00	NA
2013-05-01 06:30:00	NA
2013-05-01 06:40:00	NA
2013-05-01 06:50:00	NA
2013-05-01 07:00:00	NA
2013-05-01 07:10:00	NA
2013-05-01 07:20:00	NA
2013-05-01 07:30:00	NA
2013-05-01 07:40:00	NA
2013-05-01 07:50:00	NA
2013-05-01 08:00:00	NA
