site	dateTime	TN	TP	DOC	PO4	NO3	NH4
Lillsjöliden	2012-04-03 10:30:00	424	14	16.3	4	54	8
Lillsjöliden	2012-05-28 10:30:00	353	13	13.7	0	4	5
Lillsjöliden	2012-06-09 10:30:00	335	45	13.6	3	5	11
Lillsjöliden	2012-06-25 10:30:00	325	15	13.9	1	6	7
Lillsjöliden	2012-07-09 10:30:00	378	12	14.2	3	3	17
Lillsjöliden	2012-07-23 10:30:00	375	16	13.9	2	8	18
Lillsjöliden	2012-08-06 10:30:00	352	17	13.4	1	9	17
Lillsjöliden	2012-08-20 10:30:00	334	14	16	1	7	15
Lillsjöliden	2012-09-04 10:30:00	515	15	19.3	1	15	20
Lillsjöliden	2012-09-15 10:30:00	479	14	18.4	1	13	18
Lillsjöliden	2012-10-01 10:30:00	444	31	18.6	0	15	28

