"id"	"dateTime"	"wtr0"	"wtr0.5"	"wtr1.0"	"wtr1.5"	"wtr2.0"	"wtr2.5"	"wtr3.0"	"wtr4.0"
"1"	"2012-05-28 17:40:00"	11.783	11.686	10.124	4.766	3.775	3.617	3.643	4.063
"2"	"2012-05-28 17:50:00"	11.759	11.686	9.879	4.792	3.801	3.617	3.617	4.063
"3"	"2012-05-28 18:00:00"	11.71	11.637	10.516	4.766	3.88	3.617	3.591	4.063
"4"	"2012-05-28 18:10:00"	11.734	11.613	10.418	4.947	3.854	3.617	3.591	4.063
"5"	"2012-05-28 18:20:00"	11.71	11.565	10.687	4.766	3.801	3.617	3.591	4.037
"6"	"2012-05-28 18:30:00"	11.613	11.54	10.81	5.231	3.985	3.617	3.617	4.063
"7"	"2012-05-28 18:40:00"	11.613	11.54	10.1	4.999	3.827	3.617	3.643	4.037
"8"	"2012-05-28 18:50:00"	11.613	11.565	10.736	5.154	3.88	3.617	3.643	4.063
"9"	"2012-05-28 19:00:00"	11.565	11.516	10.369	4.869	3.722	3.617	3.643	4.063
"10"	"2012-05-28 19:10:00"	11.467	11.419	11.224	5.385	3.854	3.617	3.617	4.063
"11"	"2012-05-28 19:20:00"	11.37	11.394	11.175	4.74	3.775	3.617	3.564	4.063
"12"	"2012-05-28 19:30:00"	11.37	11.346	11.321	4.921	3.88	3.617	3.538	4.063
"13"	"2012-05-28 19:40:00"	11.37	11.321	10.907	4.947	3.827	3.643	3.591	4.011
"14"	"2012-05-28 19:50:00"	11.321	11.297	10.98	4.636	3.722	3.643	3.643	4.037
"15"	"2012-05-28 20:00:00"	11.248	11.248	10.296	4.869	3.67	3.617	3.617	4.037
"16"	"2012-05-28 20:10:00"	11.175	11.224	10.932	5.102	3.906	3.617	3.617	4.063
"17"	"2012-05-28 20:20:00"	11.151	11.175	10.467	4.766	3.906	3.617	3.617	4.063
"18"	"2012-05-28 20:30:00"	11.078	11.102	10.712	4.973	3.958	3.643	3.617	4.063
"19"	"2012-05-28 20:40:00"	11.029	11.053	10.271	4.506	3.722	3.617	3.617	4.063
"20"	"2012-05-28 20:50:00"	10.98	11.029	10.345	4.895	3.775	3.617	3.617	4.063
"21"	"2012-05-28 21:00:00"	10.956	11.029	10.124	4.662	3.722	3.617	3.591	4.063
"22"	"2012-05-28 21:10:00"	10.956	11.029	9.731	4.636	3.801	3.617	3.617	4.063
"23"	"2012-05-28 21:20:00"	10.956	11.029	9.829	4.74	3.827	3.617	3.617	4.063
"24"	"2012-05-28 21:30:00"	10.932	11.005	10.271	4.895	3.906	3.617	3.643	4.063
"25"	"2012-05-28 21:40:00"	10.907	10.98	10.565	4.999	3.932	3.617	3.617	4.063
"26"	"2012-05-28 21:50:00"	10.907	10.98	10.541	5.024	3.932	3.617	3.617	4.089
"27"	"2012-05-28 22:00:00"	10.883	10.98	10.516	4.869	3.906	3.617	3.643	4.063
"28"	"2012-05-28 22:10:00"	10.883	10.956	10.516	4.792	3.854	3.617	3.643	4.063
"29"	"2012-05-28 22:20:00"	10.81	10.907	10.541	4.714	3.827	3.617	3.643	4.063
"30"	"2012-05-28 22:30:00"	10.785	10.883	10.565	4.714	3.801	3.617	3.617	4.063
"31"	"2012-05-28 22:40:00"	10.761	10.858	10.59	4.662	3.801	3.617	3.591	4.063
"32"	"2012-05-28 22:50:00"	10.687	10.81	10.59	4.792	3.906	3.617	3.564	4.063
"33"	"2012-05-28 23:00:00"	10.59	10.736	10.687	4.636	3.854	3.617	3.617	4.063
"34"	"2012-05-28 23:10:00"	10.516	10.638	10.541	4.818	3.775	3.617	3.617	4.063
"35"	"2012-05-28 23:20:00"	10.516	10.663	10.541	5.102	3.854	3.617	3.617	4.063
"36"	"2012-05-28 23:30:00"	10.492	10.614	10.32	5.024	3.906	3.643	3.617	4.063
"37"	"2012-05-28 23:40:00"	10.418	10.59	10.247	4.921	3.854	3.67	3.643	4.063
"38"	"2012-05-28 23:50:00"	10.345	10.541	10.198	5.05	3.827	3.643	3.643	4.063
"39"	"2012-05-29 00:00:00"	10.394	10.541	10.32	4.895	3.854	3.643	3.617	4.063
"40"	"2012-05-29 00:10:00"	10.345	10.492	10.247	4.636	3.827	3.617	3.617	4.063
"41"	"2012-05-29 00:20:00"	10.296	10.443	10.222	4.714	3.801	3.617	3.591	4.063
"42"	"2012-05-29 00:30:00"	10.296	10.369	10.296	4.921	3.854	3.591	3.617	4.063
"43"	"2012-05-29 00:40:00"	10.247	10.345	10.271	4.921	3.775	3.643	3.617	4.063
"44"	"2012-05-29 00:50:00"	10.247	10.345	10.32	4.662	3.827	3.617	3.591	4.063
"45"	"2012-05-29 01:00:00"	10.198	10.32	10.271	4.947	3.906	3.643	3.591	4.063
"46"	"2012-05-29 01:10:00"	10.149	10.296	10.271	4.818	3.775	3.617	3.617	4.063
"47"	"2012-05-29 01:20:00"	10.149	10.271	10.296	4.869	3.88	3.617	3.643	4.063
