dateTime	doobs	depth
2012-06-13 20:00:00	8.781590028	1
2012-06-13 20:20:00	8.749592332	1
2012-06-13 20:40:00	8.73059549	1
2012-06-13 21:00:00	8.812605569	1
2012-06-13 21:20:00	8.682601056	1
2012-06-13 21:40:00	8.74160959	1
2012-06-13 22:00:00	8.706611581	1
2012-06-13 22:20:00	8.788621815	1
2012-06-13 22:40:00	8.853630921	1
2012-06-13 23:00:00	8.740627318	1
2012-06-13 23:20:00	8.722630466	1
2012-06-13 23:40:00	8.832642914	1
2012-06-14 00:00:00	8.746641106	1
2012-06-14 00:20:00	8.663639432	1
2012-06-14 00:40:00	8.642642281	1
2012-06-14 01:00:00	8.777656783	1
2012-06-14 01:20:00	8.548643998	1
2012-06-14 01:40:00	8.706660334	1
2012-06-14 02:00:00	8.708664919	1
2012-06-14 02:20:00	8.659665586	1
2012-06-14 02:40:00	8.656669762	1
2012-06-14 03:00:00	8.683676271	1
2012-06-14 03:20:00	8.640677321	1
2012-06-14 03:40:00	8.607679115	1
2012-06-14 04:00:00	8.673688738	1
2012-06-14 04:20:00	8.677693473	1
2012-06-14 04:40:00	8.630694111	1
2012-06-14 05:00:00	8.659700851	1
2012-06-14 05:20:00	8.634703223	1
2012-06-14 05:40:00	8.764718273	1
2012-06-14 06:00:00	8.739720673	1
2012-06-14 06:20:00	8.717723297	1
2012-06-14 06:40:00	8.714727484	1
2012-06-14 07:00:00	8.735733684	1
2012-06-14 07:20:00	8.649730864	1
2012-06-14 07:40:00	8.602731272	1
2012-06-14 08:00:00	8.742747624	1
2012-06-14 08:20:00	8.68074674	1
2012-06-14 08:40:00	8.696752544	1
2012-06-14 09:00:00	8.724759408	1
2012-06-14 09:20:00	8.653757633	1
2012-06-14 09:40:00	8.532751382	1
2012-06-14 10:00:00	8.481751209	1
2012-06-14 10:20:00	8.751779579	1
2012-06-14 10:40:00	8.705779913	1
2012-06-14 11:00:00	8.603775154	1
2012-06-14 11:20:00	8.399761049	1
2012-06-14 11:40:00	8.372762865	1
2012-06-14 12:00:00	8.407770334	1
2012-06-14 12:20:00	8.361770376	1
2012-06-14 12:40:00	8.411779265	1
2012-06-14 13:00:00	8.617802737	1
2012-06-14 13:20:00	8.603805813	1
2012-06-14 13:40:00	8.381789286	1
2012-06-14 14:00:00	8.408796109	1
2012-06-14 14:20:00	8.346794488	1
2012-06-14 14:40:00	8.226787252	1
2012-06-14 15:00:00	8.485816359	1
2012-06-14 15:20:00	8.511823194	1
2012-06-14 15:40:00	8.601836277	1
2012-06-14 16:00:00	8.567837333	1
2012-06-14 16:20:00	8.245810059	1
2012-06-14 16:40:00	8.205810306	1
2012-06-14 17:00:00	8.321825998	1
2012-06-14 17:20:00	8.69886785	1
2012-06-14 17:40:00	8.506853024	1
2012-06-14 18:00:00	8.542860983	1
2012-06-14 18:20:00	8.560867155	1
2012-06-14 18:40:00	8.390854205	1
2012-06-14 19:00:00	8.436863183	1
2012-06-14 19:20:00	8.271850511	1
2012-06-14 19:40:00	8.246852138	1
2012-06-14 20:00:00	8.441876587	1
2012-06-14 20:20:00	8.36287264	1
2012-06-14 20:40:00	8.285868823	1
2012-06-14 21:00:00	8.235867772	1
2012-06-14 21:20:00	8.188866988	1
2012-06-14 21:40:00	8.322885413	1
2012-06-14 22:00:00	8.388896706	1
2012-06-14 22:20:00	8.647928796	1
2012-06-14 22:40:00	8.471914204	1
2012-06-14 23:00:00	8.390909734	1
2012-06-14 23:20:00	8.61293819	1
2012-06-14 23:40:00	8.588939948	1
2012-06-15 00:00:00	8.574942781	1
2012-06-15 00:20:00	8.359923396	1
2012-06-15 00:40:00	8.307921881	1
2012-06-15 01:00:00	8.376933803	1
2012-06-15 01:20:00	8.64896853	1
2012-06-15 01:40:00	8.733982495	1
2012-06-15 02:00:00	8.682981178	1
2012-06-15 02:20:00	8.661983214	1
2012-06-15 02:40:00	8.384956037	1
2012-06-15 03:00:00	8.416963971	1
2012-06-15 03:20:00	8.628992646	1
2012-06-15 03:40:00	8.728008479	1
2012-06-15 04:00:00	8.720011994	1
2012-06-15 04:20:00	8.75602063	1
2012-06-15 04:40:00	8.743023565	1
2012-06-15 05:00:00	8.73302684	1
2012-06-15 05:20:00	8.735031522	1
2012-06-15 05:40:00	8.5970196	1
2012-06-15 06:00:00	8.578021713	1
2012-06-15 06:20:00	8.642033736	1
2012-06-15 06:40:00	8.689043782	1
2012-06-15 07:00:00	8.630041087	1
2012-06-15 07:20:00	8.620044269	1
2012-06-15 07:40:00	8.595045615	1
2012-06-15 08:00:00	8.643055855	1
2012-06-15 08:20:00	8.553049214	1
2012-06-15 08:40:00	8.426037922	1
2012-06-15 09:00:00	8.523054211	1
2012-06-15 09:20:00	8.501055817	1
2012-06-15 09:40:00	8.412049044	1
2012-06-15 10:00:00	8.601076995	1
2012-06-15 10:20:00	8.547074584	1
2012-06-15 10:40:00	8.440065426	1
2012-06-15 11:00:00	8.406065413	1
2012-06-15 11:20:00	8.529085346	1
2012-06-15 11:40:00	8.415075122	1
2012-06-15 12:00:00	8.501090438	1
2012-06-15 12:20:00	8.50609541	1
2012-06-15 12:40:00	8.389084611	1
2012-06-15 13:00:00	8.487101604	1
2012-06-15 13:20:00	8.444100321	1
2012-06-15 13:40:00	8.498111684	1
2012-06-15 14:00:00	8.630133347	1
2012-06-15 14:20:00	8.823163188	1
2012-06-15 14:40:00	8.89517721	1
2012-06-15 15:00:00	8.667151444	1
2012-06-15 15:20:00	8.583144652	1
2012-06-15 15:40:00	8.425127868	1
2012-06-15 16:00:00	8.621158498	1
2012-06-15 16:20:00	8.526150071	1
2012-06-15 16:40:00	8.447143714	1
2012-06-15 17:00:00	8.564163917	1
2012-06-15 17:20:00	8.548166094	1
2012-06-15 17:40:00	8.558171815	1
2012-06-15 18:00:00	8.546174523	1
2012-06-15 18:20:00	8.616188531	1
2012-06-15 18:40:00	8.424166331	1
2012-06-15 19:00:00	8.638200361	1
2012-06-15 19:20:00	8.728217312	1
2012-06-15 19:40:00	8.630208036	1
2012-06-15 20:00:00	8.687220438	1
2012-06-15 20:20:00	8.708227822	1
2012-06-15 20:40:00	8.621219943	1
2012-06-15 21:00:00	8.686233564	1
2012-06-15 21:20:00	8.677236703	1
2012-06-15 21:40:00	8.54922281	1
2012-06-15 22:00:00	8.59923434	1
2012-06-15 22:20:00	8.601239006	1
2012-06-15 22:40:00	8.574239481	1
2012-06-15 23:00:00	8.694261256	1
2012-06-15 23:20:00	8.624255491	1
2012-06-15 23:40:00	8.581253599	1
2012-06-16 00:00:00	8.58925914	1
2012-06-16 00:20:00	8.483247917	1
2012-06-16 00:40:00	8.448247069	1
2012-06-16 01:00:00	8.487257147	1
2012-06-16 01:20:00	8.438254184	1
2012-06-16 01:40:00	8.514269816	1
2012-06-16 02:00:00	8.491270708	1
2012-06-16 02:20:00	8.473272328	1
2012-06-16 02:40:00	8.445272422	1
2012-06-16 03:00:00	8.375266138	1
2012-06-16 03:20:00	8.300259023	1
2012-06-16 03:40:00	8.393277405	1
2012-06-16 04:00:00	8.502298325	1
2012-06-16 04:20:00	8.468297444	1
2012-06-16 04:40:00	8.442297757	1
2012-06-16 05:00:00	8.445302518	1
2012-06-16 05:20:00	8.37229552	1
2012-06-16 05:40:00	8.291287205	1
2012-06-16 06:00:00	8.384305913	1
2012-06-16 06:20:00	8.405313464	1
2012-06-16 06:40:00	8.462326681	1
2012-06-16 07:00:00	8.485334607	1
2012-06-16 07:20:00	8.489339558	1
2012-06-16 07:40:00	8.602361771	1
2012-06-16 08:00:00	8.538355984	1
2012-06-16 08:20:00	8.573365908	1
2012-06-16 08:40:00	8.560368195	1
