site	dateTime	TN	TP	DOC	PO4	NO3	NH4
Lillsjöliden	2012-04-03 20:00:00	331	12	13.8	0	19	8
Lillsjöliden	2012-04-14 20:00:00	336	13	15.1	2	23	10
Lillsjöliden	2012-04-15 20:00:00	276	11	14	3	22	12
Lillsjöliden	2012-04-16 20:00:00	283	12	13	6	22	13
Lillsjöliden	2012-04-17 20:00:00	333	10	13.4	6	19	10
Lillsjöliden	2012-04-18 20:00:00	377	12	12.6	8	19	11
Lillsjöliden	2012-04-19 20:00:00	328	12	12.2	7	19	10
Lillsjöliden	2012-04-20 20:00:00	278	11	11.5	4	19	6
Lillsjöliden	2012-04-21 20:00:00	325	11	12	5	19	3
Lillsjöliden	2012-04-22 20:00:00	287	19	12.4	4	18	3
Lillsjöliden	2012-04-23 20:00:00	291	12	15.5	4	18	5
Lillsjöliden	2012-04-24 20:00:00	408	11	18.1	4	27	11
Lillsjöliden	2012-04-25 20:00:00	376	14	18.3	4	23	10
Lillsjöliden	2012-04-26 20:00:00	403	14	20.5	3	18	12
Lillsjöliden	2012-04-27 20:00:00	846	48	22.8	2	25	18
Lillsjöliden	2012-04-28 20:00:00	465	17	18.8	2	26	17
Lillsjöliden	2012-04-29 20:00:00	367	18	16.7	3	18	11
Lillsjöliden	2012-04-30 20:00:00	364	15	16.1	4	14	12
Lillsjöliden	2012-05-01 20:00:00	352	15	14.5	3	16	12
Lillsjöliden	2012-05-02 20:00:00	387	48	14.2	2	19	14
Lillsjöliden	2012-05-03 20:00:00	327	13	12.7	5	19	14
Lillsjöliden	2012-05-04 10:30:00	289	11	11.9	5	20	13
Lillsjöliden	2012-05-08 20:00:00	312	20	12.9	4	31	28
Lillsjöliden	2012-05-14 20:00:00	350	8	12.9	NA	NA	NA
Lillsjöliden	2012-05-20 20:00:00	363	11	11.2	NA	NA	NA
Lillsjöliden	2012-05-28 10:30:00	249	8	8.4	2	24	11
Lillsjöliden	2012-06-09 10:30:00	500	12	23.4	4	31	28
Lillsjöliden	2012-06-25 10:30:00	272	10	9.9	3	15	1
Lillsjöliden	2012-07-06 20:00:00	325	15	10.7	3	14	13
Lillsjöliden	2012-07-08 20:00:00	488	15	22.6	0	8	6
Lillsjöliden	2012-07-09 10:30:00	484	18	25.6	1	0	14
Lillsjöliden	2012-07-13 20:00:00	505	13	25.6	0	10	35
Lillsjöliden	2012-07-17 20:00:00	373	15	14.7	6	15	49
Lillsjöliden	2012-07-21 20:00:00	419	12	11.7	2	12	32
Lillsjöliden	2012-07-23 10:30:00	227	12	12.3	3	12	6
Lillsjöliden	2012-08-06 10:30:00	556	19	28	0	17	1
Lillsjöliden	2012-08-07 20:00:00	490	13	23.7	4	17	47
Lillsjöliden	2012-08-08 20:00:00	370	13	21.7	NA	NA	NA
Lillsjöliden	2012-08-09 20:00:00	421	13	21.7	4	19	36
Lillsjöliden	2012-08-20 10:30:00	337	12	12.7	1	11	0
Lillsjöliden	2012-08-25 20:00:00	323	15	13.3	4	8	12
Lillsjöliden	2012-08-27 20:00:00	721	15	35.4	2	50	5
Lillsjöliden	2012-08-30 20:00:00	891	20	42.4	2	36	15
Lillsjöliden	2012-09-04 10:30:00	421	12	19.4	3	12	8
Lillsjöliden	2012-09-07 20:00:00	342	11	15.4	2	11	4
Lillsjöliden	2012-09-13 20:00:00	269	13	12.4	3	11	5
Lillsjöliden	2012-09-14 20:00:00	288	14	13.9	4	9	5
Lillsjöliden	2012-09-15 10:30:00	411	11	19.3	1	10	0
Lillsjöliden	2012-09-26 20:00:00	265	15	14.1	4	11	2
Lillsjöliden	2012-09-27 20:00:00	855	23	45.4	3	60	25
Lillsjöliden	2012-09-28 20:00:00	619	23	31.4	4	26	14
Lillsjöliden	2012-10-01 10:30:00	488	10	21	4	14	0
Lillsjöliden	2012-10-06 20:00:00	790	14	39.8	0	39	20
Lillsjöliden	2012-10-08 20:00:00	500	11	22.1	2	12	11
Lillsjöliden	2012-10-10 20:00:00	351	8	17.2	2	5	3
Lillsjöliden	2012-10-12 20:00:00	302	10	14.4	3	9	3
Lillsjöliden	2012-10-14 20:00:00	321	9	14.6	1	4	9


