site	dateTime	TN	TPuf 	NO3NO2	NH4	ph	DIC	DOC	DRP	Drsilica
epilimnion	2013-06-10 00:00:00	880	43	522	186	8.34	42.02	4.03	20	472
epilimnion	2013-06-24 00:00:00	870	27	394	29	NA	NA	NA	0	720
epilimnion	2013-07-08 00:00:00	850	38	180	19	8.95	39.07	4.17	0	1190
epilimnion	2013-07-22 00:00:00	670	27	0	0	NA	NA	NA	0	859
epilimnion	2013-08-05 00:00:00	820	26	20	125	8.74	36.95	4.84	0	1190
epilimnion	2013-08-21 00:00:00	670	17	0	17	NA	NA	NA	0	1440
epilimnion	2013-09-04 00:00:00	1020	22	0	0	8.71	23.94	5.93	0	1650
epilimnion	2013-09-30 00:00:00	640	26	0	0	8.68	26.95	3.8	0	1700
epilimnion	2013-10-29 00:00:00	870	84	20	370	8.13	42.74	4.36	50	1080
epilimnion	2013-12-02 00:00:00	1020	77	129	471	8.55	39.19	5.26	55	0
