year	doy	GPP	R	NEP	GPP_SD	R_SD	gppCoeff_SD	rCoeff_SD	doInit_SD	nll.nll	converge.converge
2016	109	13.3011150312411	-7.00172710739701	3.30772573688762	0	0	0	0	0	NA	NA
2016	110	1.58274558347486	-0.815632751884154	0.418846273652058	0	0	0	0	0	NA	NA
2016	111	2.20848461405377	-0.152988208895673	2.00353995378486	0	0	0	0	0	NA	NA
2016	112	27.3274282960614	-17.6216534154207	2.13349000738588	0	0	0	0	0	NA	NA
2016	113	-1.7754198996984	2.3991166044091	1.66823465001192	0	0	0	0	0	NA	NA
2016	114	4.12921366107737	-2.43101391746291	0.656069232152314	0	0	0	0	0	NA	NA
2016	115	8.17891734694673	-4.85452556569233	1.24287994005391	0	0	0	0	0	NA	NA
2016	116	2.92899720685838	-1.02740477612941	1.4838113528476	0	0	0	0	0	NA	NA
2016	117	2.78277084135709	-2.20547320952493	-0.344038696417242	0	0	0	0	0	NA	NA
2016	118	-0.204069914426117	-0.101024233995014	-0.349615464421984	0	0	0	0	0	NA	NA
2016	119	0.781575536516249	-0.875030280137425	-0.461253845382482	0	0	0	0	0	NA	NA
2016	126	12.9499963025324	-10.9307488408939	-2.40008250556574	0	0	0	0	0	NA	NA
2016	127	2.47607019463472	3.23267297776471	7.05981852822288	0	0	0	0	0	NA	NA
2016	128	8.86008718086914	-6.60542406204057	-0.40869305235692	0	0	0	0	0	NA	NA
2016	130	5.15725220889613	-3.6100039635355	0.0938707513767257	0	0	0	0	0	NA	NA
2016	132	10.515687078927	-7.6552732950446	-0.117452584919127	0	0	0	0	0	NA	NA
2016	133	7.48722002647378	-4.00817392986111	1.93374054433568	0	0	0	0	0	NA	NA
2016	134	1.72191970880651	-1.17285343451858	0.0936066514994545	0	0	0	0	0	NA	NA
2016	137	1.43571525796889	-0.695258869943004	0.473365196915516	0	0	0	0	0	NA	NA
2016	141	3.06144446193308	0.308926989050062	3.51491888341521	0	0	0	0	0	NA	NA
2016	142	2.0025989485553	-1.48339763082875	-0.0373320441407653	0	0	0	0	0	NA	NA
2016	143	-0.578244122872446	1.2526599058414	1.15216438925151	0	0	0	0	0	NA	NA
2016	144	-1.30862261369938	2.84374158556867	2.61971452846075	0	0	0	0	0	NA	NA
2016	145	1.57843996296453	0.400952131307078	2.14464249416569	0	0	0	0	0	NA	NA
2016	146	0.853305226498164	2.30437606247407	4.04994694395526	0	0	0	0	0	NA	NA
2016	147	2.24060215910012	-0.259824973971445	1.8965130493991	0	0	0	0	0	NA	NA
2016	148	1.75426713735803	0.992503373854356	3.14077018043859	0	0	0	0	0	NA	NA
2016	149	-1.2674671727679	3.04826763731616	2.94434768748268	0	0	0	0	0	NA	NA
2016	150	0.925693772120221	0.663114363708208	1.85032550489187	0	0	0	0	0	NA	NA
2016	151	1.97701962346713	0.321341574156363	2.43577942281278	0	0	0	0	0	NA	NA
2016	153	2.25721027975679	-0.401374285505244	1.71724595632825	0	0	0	0	0	NA	NA
2016	154	1.83118888749888	0.643136684395799	2.73449135181963	0	0	0	0	0	NA	NA
2016	155	2.63313149653666	0.616840246726625	3.49700436265523	0	0	0	0	0	NA	NA
2016	156	0.808742394532165	1.31034118829569	2.61039005397614	0	0	0	0	0	NA	NA
2016	157	1.51042571285935	0.281560222288225	1.90690284070096	0	0	0	0	0	NA	NA
2016	158	1.07701300186638	0.00750197790136525	1.09482699256941	0	0	0	0	0	NA	NA
2016	159	0.643559897467829	0.222192248594511	0.95260353818106	0	0	0	0	0	NA	NA
2016	160	1.50119478059939	-0.243096091283832	1.17849800359916	0	0	0	0	0	NA	NA
2016	161	0.32782522033463	0.458850673377042	0.959031914056552	0	0	0	0	0	NA	NA
2016	162	2.23667095457302	-1.04659795464304	0.817814114325027	0	0	0	0	0	NA	NA
