year	doy	GPP	R	NEP	GPP_SD	R_SD	gppCoeff_SD	rCoeff_SD	doInit_SD	nll.nll	converge.converge
2013	174	1.70810049500679	-1.65161537782242	0.0564851171843685	0.871406618514736	1.2086440554142	1.10925537440552e-05	0.00271840958380021	0.385093507176441	-43.1387647661199	0
2013	175	4.48130685364483	-5.23222265633817	-0.750915802693346	3.05348404572826	4.74972161774059	3.34178666488086e-05	0.0104488245605944	1.21452389988022	54.4273309755582	0
2013	176	1.20819222074592	-1.30904564315638	-0.100853422410456	3.36139962416506	5.22543222014743	3.55664898340716e-05	0.0113224441906583	2.01556270990817	142.677159143865	0
2013	177	1.49353003779567	-2.67036227204185	-1.17683223424619	2.78369785219394	4.80710906483008	4.63676845488228e-05	0.0104216246449418	1.76450640277562	132.319641326654	0
2013	178	1.73561687207282	-1.67988069602844	0.0557361760443811	2.22273858972594	3.51743443811598	3.73520545159784e-05	0.00761434724595722	1.09637436963274	36.9680317407763	0
2013	179	2.41174188833418	-3.19070949203502	-0.778967603700844	1.71957280111703	0.177211999934142	4.47656198224817e-05	0.000390417434341932	1.13504038564146	-16.19472983141	0
2013	180	3.04921926067205	-4.3383429621128	-1.28912370144075	1.75580579240675	0.10754194861355	2.89508571194133e-05	0.000241447965818607	1.21869460854069	-12.5396515195211	0
2013	181	3.20053672947207	-1.72717541097124	1.47336131850083	1.52419987884883	2.11282794198983	1.54874280609705e-05	0.00474642562108092	0.587042813124998	1.36788103295507	0
2013	182	1.81395658686617	-1.59827640924207	0.215680177624101	1.52601791772754	1.99516570055843	1.51993362343294e-05	0.00443371360705916	0.756759493053084	7.87370101803633	0
2013	183	2.86722843086073	-2.36086580313031	0.506362627730416	2.04406514476025	3.03313809539556	2.1453070763954e-05	0.00671533551618794	0.910548315704187	45.739233879663	0
2013	184	1.38357599630987	-0.864896008209472	0.5186799881004	1.50048348333313	2.01001358186104	1.4834930375738e-05	0.00442650202137415	0.660976706137084	4.17988102695605	0
2013	185	0.418897939623988	-0.0158334825795595	0.403064457044429	1.69107971712329	2.39651053413607	1.88620161565829e-05	0.0052373990413974	0.939180934292707	25.5379268575146	0
2013	186	1.76873438529928	-2.41926696407677	-0.650532578777487	1.24194220150391	0.120864245960086	1.32381626611428e-05	0.000261296771928967	1.1663632270305	-79.707675557774	0
