"dateTime"	"par"
"2013-05-21 11:00:00"	938.7
"2013-05-21 11:10:00"	1583.7
"2013-05-21 11:20:00"	2156.2
"2013-05-21 11:30:00"	1788.7
"2013-05-21 11:40:00"	851.2
"2013-05-21 11:50:00"	1886.2
"2013-05-21 12:00:00"	601.2
"2013-05-21 12:10:00"	423.7
"2013-05-21 12:20:00"	1698.7
"2013-05-21 12:30:00"	1208.7
"2013-05-21 12:40:00"	2136.2
"2013-05-21 12:50:00"	1601.2
"2013-05-21 13:00:00"	1401.2
"2013-05-21 13:10:00"	903.7
"2013-05-21 13:20:00"	1658.7
"2013-05-21 13:30:00"	2496.2
"2013-05-21 13:40:00"	998.7
"2013-05-21 13:50:00"	1901.2
"2013-05-21 14:00:00"	451.2
"2013-05-21 14:10:00"	246.2
"2013-05-21 14:20:00"	73.7
"2013-05-21 14:30:00"	151.2
"2013-05-21 14:40:00"	358.7
"2013-05-21 14:50:00"	498.7
"2013-05-21 15:00:00"	511.2
"2013-05-21 15:10:00"	383.7
"2013-05-21 15:20:00"	483.7
"2013-05-21 15:30:00"	393.7
"2013-05-21 15:40:00"	338.7
"2013-05-21 15:50:00"	178.7
"2013-05-21 16:00:00"	163.7
"2013-05-21 16:10:00"	311.2
"2013-05-21 16:20:00"	213.7
"2013-05-21 16:30:00"	226.2
"2013-05-21 16:40:00"	316.2
"2013-05-21 16:50:00"	363.7
"2013-05-21 17:00:00"	308.7
"2013-05-21 17:10:00"	188.7
"2013-05-21 17:20:00"	146.2
"2013-05-21 17:30:00"	158.7
"2013-05-21 17:40:00"	148.7
"2013-05-21 17:50:00"	181.2
"2013-05-21 18:00:00"	178.7
"2013-05-21 18:10:00"	103.7
"2013-05-21 18:20:00"	68.7
"2013-05-21 18:30:00"	63.7
"2013-05-21 18:40:00"	48.7
"2013-05-21 18:50:00"	43.7
"2013-05-21 19:00:00"	38.7
"2013-05-21 19:10:00"	58.7
"2013-05-21 19:20:00"	31.2
"2013-05-21 19:30:00"	23.7
"2013-05-21 19:40:00"	21.2
"2013-05-21 19:50:00"	16.2
"2013-05-21 20:00:00"	8.7
"2013-05-21 20:10:00"	6.2
"2013-05-21 20:20:00"	3.7
"2013-05-21 20:30:00"	1.2
"2013-05-21 20:40:00"	1.2
"2013-05-21 20:50:00"	1.2
"2013-05-21 21:00:00"	1.2
"2013-05-21 21:10:00"	1.2
"2013-05-21 21:20:00"	1.2
"2013-05-21 21:30:00"	1.2
"2013-05-21 21:40:00"	1.2
"2013-05-21 21:50:00"	1.2
"2013-05-21 22:00:00"	1.2
"2013-05-21 22:10:00"	1.2
"2013-05-21 22:20:00"	1.2
"2013-05-21 22:30:00"	1.2
"2013-05-21 22:40:00"	1.2
"2013-05-21 22:50:00"	1.2
"2013-05-21 23:00:00"	1.2
"2013-05-21 23:10:00"	1.2
"2013-05-21 23:20:00"	1.2
"2013-05-21 23:30:00"	1.2
"2013-05-21 23:40:00"	1.2
"2013-05-21 23:50:00"	1.2
"2013-05-22 00:00:00"	1.2
"2013-05-22 00:10:00"	1.2
"2013-05-22 00:20:00"	1.2
