site	dateTime	TP	TN	SRP	Nitrate	DOC
epilimnion	2013-05-14 08:50:00	12.76	2003.31	5.82	49.17	4.92
epilimnion	2013-05-21 09:41:00	14.31	1784.78	3.87	41.65	4.775
epilimnion	2013-05-27 12:04:00	10.12	1762.81	3.87	52.79	NA
epilimnion	2013-06-04 10:00:00	8.32	1475.81	3.72	47.05	4.285
epilimnion	2013-06-19 14:15:00	12.03	1306.39	6.1	98.89	4.715
epilimnion	2013-07-04 09:50:00	8.89	306.15	4.85	104.9	NA
epilimnion	2013-07-23 12:30:00	13.56	1899.74	5.47	118.29	3.965
epilimnion	2013-08-02 15:15:00	9.77	2021.08	1.76	69.27	5.605
epilimnion	2013-09-14 10:15:00	11.14	1927.61	2.98	67.43	3.62
