dateTime	par
2011-04-21 13:45:00	1635
2011-04-21 14:00:00	1576
2011-04-21 14:15:00	1544
2011-04-21 14:30:00	1502
2011-04-21 14:45:00	1449
2011-04-21 15:00:00	1384
2011-04-21 15:15:00	1312
2011-04-21 15:30:00	1245
2011-04-21 15:45:00	1156
2011-04-21 16:00:00	1070
2011-04-21 16:15:00	1019
2011-04-21 16:30:00	716
2011-04-21 16:45:00	820
2011-04-21 17:00:00	717
2011-04-21 17:15:00	602
2011-04-21 17:30:00	527
2011-04-21 17:45:00	429
2011-04-21 18:00:00	334
2011-04-21 18:15:00	245
2011-04-21 18:30:00	168
2011-04-21 18:45:00	94
2011-04-21 19:00:00	33
2011-04-21 19:15:00	9
2011-04-21 19:30:00	1
2011-04-21 19:45:00	0
2011-04-21 20:00:00	0
2011-04-21 20:15:00	1
2011-04-21 20:30:00	0
2011-04-21 20:45:00	0
2011-04-21 21:00:00	0
2011-04-21 21:15:00	0
2011-04-21 21:30:00	0
2011-04-21 21:45:00	0
2011-04-21 22:00:00	0
2011-04-21 22:15:00	0
2011-04-21 22:30:00	0
2011-04-21 22:45:00	0
2011-04-21 23:00:00	0
2011-04-21 23:15:00	0
2011-04-21 23:30:00	0
2011-04-21 23:45:00	0
2011-04-22 00:00:00	0
2011-04-22 00:15:00	0
2011-04-22 00:30:00	0
2011-04-22 00:45:00	0
2011-04-22 01:00:00	0
2011-04-22 01:15:00	0
2011-04-22 01:30:00	0
2011-04-22 01:45:00	0
2011-04-22 02:00:00	0
2011-04-22 02:15:00	0
2011-04-22 02:30:00	0
2011-04-22 02:45:00	0
2011-04-22 03:00:00	0
2011-04-22 03:15:00	0
2011-04-22 03:30:00	0
2011-04-22 03:45:00	0
2011-04-22 04:00:00	0
2011-04-22 04:15:00	0
2011-04-22 04:30:00	0
2011-04-22 04:45:00	0
2011-04-22 05:00:00	0
2011-04-22 05:15:00	0
2011-04-22 05:30:00	0
2011-04-22 05:45:00	0
2011-04-22 06:00:00	1
2011-04-22 06:15:00	1
2011-04-22 06:30:00	10
2011-04-22 06:45:00	28
2011-04-22 07:00:00	43
2011-04-22 07:15:00	37
2011-04-22 07:30:00	34
2011-04-22 07:45:00	87
2011-04-22 08:00:00	105
2011-04-22 08:15:00	128
2011-04-22 08:30:00	295
2011-04-22 08:45:00	359
2011-04-22 09:00:00	251
2011-04-22 09:15:00	175
2011-04-22 09:30:00	191
2011-04-22 09:45:00	178
2011-04-22 10:00:00	293
2011-04-22 10:15:00	240
2011-04-22 10:30:00	367
2011-04-22 10:45:00	420
2011-04-22 11:00:00	411
2011-04-22 11:15:00	538
2011-04-22 11:30:00	480
2011-04-22 11:45:00	478
2011-04-22 12:00:00	447
2011-04-22 12:15:00	416
2011-04-22 12:30:00	504
2011-04-22 12:45:00	579
2011-04-22 13:00:00	390
2011-04-22 13:15:00	394
2011-04-22 13:30:00	289
2011-04-22 13:45:00	330
2011-04-22 14:00:00	407
2011-04-22 14:15:00	202
2011-04-22 14:30:00	305
2011-04-22 14:45:00	131
2011-04-22 15:00:00	118
