site	dateTime	TP	TN	SRP	Nitrate	DOC
epilimnion	2013-05-15 09:12:00	25.31	2281.54	7.76	196.92	13.05
epilimnion	2013-05-23 09:00:00	25.94	2053.4	5.82	176.23	17.65
epilimnion	2013-05-30 09:15:00	27.18	2019.27	8.21	195.02	16.755
epilimnion	2013-06-06 08:30:00	30.41	692.71	8.36	208.21	16.02
epilimnion	2013-06-17 08:00:00	29.34	1308.9	17.63	58.57	11.885
epilimnion	2013-07-02 12:15:00	34.2	911.77	8.28	257.78	18.5
epilimnion	2013-07-19 07:45:00	32.21	1803.7	11.35	264.38	20.66
epilimnion	2013-08-01 09:35:00	37.94	2094.81	7.48	245.27	13.3
epilimnion	2013-08-13 11:15:00	33.65	2187.22	7.02	249.14	23.19
epilimnion	2013-09-14 14:25:00	38.52	2407.31	7.81	405.88	22.38
