site	dateTime	TP	TN	SRP	Nitrate	DOC
Inlet3	2013-05-16 10:55:00	23.61	2324.49	10.31	659.67	37.475
Inlet3	2013-05-23 12:25:00	22.52	2486.83	12.85	835.86	NA
Inlet3	2013-05-30 10:15:00	29.66	2732.36	15.4	1329.41	56.725
Inlet3	2013-06-06 09:40:00	16.59	1347.07	10.73	1089.96	48.29
Inlet3	2013-06-17 09:00:00	37.24	1748.03	23.86	NA	62.56
Inlet3	2013-07-02 13:25:00	48.93	1893.78	20.12	NA	57.08
Inlet3	2013-07-19 07:45:00	41.81	2110.48	43.65	NA	83.41
Inlet3	2013-08-01 09:40:00	27.11	3014.25	18.15	NA	74.045
Inlet3	2013-08-13 11:15:00	82.62	3306.28	29.9	NA	38.145
Inlet3	2013-09-14 00:00:00	54.49	3169.06	15.83	NA	NA
