site	dateTime	TP	TN	SRP	Nitrate	DOC
Inlet1	2013-05-06 12:07:00	28.78	2144.04	3.72	183.05	11.635
Inlet1	2013-05-16 11:10:00	29.66	2286.22	11.95	181.98	14.78
Inlet1	2013-05-23 13:07:00	26.09	2143.65	10.76	178.27	10.27
Inlet1	2013-05-30 10:00:00	30.9	2104.89	7.31	113.06	18.265
Inlet1	2013-06-06 10:20:00	17.63	541.39	7.5	191.16	19.705
Inlet1	2013-07-02 13:35:00	27.98	970.46	17.94	232.71	13.985
Inlet1	2013-07-19 07:45:00	35.16	763.23	24.49	243.94	11.17
Inlet1	2013-08-01 09:40:00	19.05	2106.24	11.96	153.07	11.105
Inlet1	2013-08-13 11:15:00	20.72	2120.42	10.57	141.59	5.32
Inlet1	2013-09-14 12:00:00	18.44	2115.81	7.94	129.34	8.2
