Lilli	dateTime	discharge 
Still	2014-05-06 00:00	5.918221023
Still	2014-05-07 00:00	5.181983001
Still	2014-05-08 00:00	4.983765072
Still	2014-05-09 00:00	6.286340034
Still	2014-05-10 00:00	6.79604328
Still	2014-05-11 00:00	6.314656881
Still	2014-05-12 00:00	4.587329214
Still	2014-05-13 00:00	3.936041733
Still	2014-05-14 00:00	3.454655334
Still	2014-05-15 00:00	3.369704793
Still	2014-05-16 00:00	4.24752705
Still	2014-05-17 00:00	15.80080063
Still	2014-05-18 00:00	7.050894903
Still	2014-05-19 00:00	4.842180837
Still	2014-05-20 00:00	3.936041733
Still	2014-05-21 00:00	3.39802164
Still	2014-05-22 00:00	4.474061826
Still	2014-05-23 00:00	5.635052553
Still	2014-05-24 00:00	7.419013914
Still	2014-05-25 00:00	4.757230296
Still	2014-05-26 00:00	3.794457498
Still	2014-05-27 00:00	3.341387946
Still	2014-05-28 00:00	3.369704793
Still	2014-05-29 00:00	2.775051006
Still	2014-05-30 00:00	2.435248842
Still	2014-05-31 00:00	2.350298301
Still	2014-06-01 00:00	2.208714066
Still	2014-06-02 00:00	2.010496137
Still	2014-06-03 00:00	1.868911902
Still	2014-06-04 00:00	2.293664607
Still	2014-06-05 00:00	4.417428132
Still	2014-06-06 00:00	3.143170017
Still	2014-06-07 00:00	2.237030913
Still	2014-06-08 00:00	1.868911902
Still	2014-06-09 00:00	2.180397219
Still	2014-06-10 00:00	2.208714066
Still	2014-06-11 00:00	2.152080372
Still	2014-06-12 00:00	1.897228749
Still	2014-06-13 00:00	3.567922722
Still	2014-06-14 00:00	4.757230296
Still	2014-06-15 00:00	2.633466771
Still	2014-06-16 00:00	2.010496137
Still	2014-06-17 00:00	1.755644514
Still	2014-06-18 00:00	1.614060279
Still	2014-06-19 00:00	4.559012367
Still	2014-06-20 00:00	3.284754252
Still	2014-06-21 00:00	2.067129831
Still	2014-06-22 00:00	1.642377126
Still	2014-06-23 00:00	1.444159197
Still	2014-06-24 00:00	1.302574962
Still	2014-06-25 00:00	1.274258115
Still	2014-06-26 00:00	1.500792891
Still	2014-06-27 00:00	1.217624421
Still	2014-06-28 00:00	1.13267388
Still	2014-06-29 00:00	1.019406492
Still	2014-06-30 00:00	0.991089645
Still	2014-07-01 00:00	0.991089645
Still	2014-07-02 00:00	3.482972181
Still	2014-07-03 00:00	7.503964455
Still	2014-07-04 00:00	12.94079908
Still	2014-07-05 00:00	4.615646061
Still	2014-07-06 00:00	2.690100465
Still	2014-07-07 00:00	2.095446678
Still	2014-07-08 00:00	2.944952088
Still	2014-07-09 00:00	2.152080372
Still	2014-07-10 00:00	2.803367853
Still	2014-07-11 00:00	1.783961361
Still	2014-07-12 00:00	1.557426585
Still	2014-07-13 00:00	1.274258115
Still	2014-07-14 00:00	3.624556416
Still	2014-07-15 00:00	11.52495673
Still	2014-07-16 00:00	6.088122105
Still	2014-07-17 00:00	3.171486864
Still	2014-07-18 00:00	2.237030913
Still	2014-07-19 00:00	1.868911902
Still	2014-07-20 00:00	1.614060279
Still	2014-07-21 00:00	1.472476044
Still	2014-07-22 00:00	1.359208656
Still	2014-07-23 00:00	1.585743432
Still	2014-07-24 00:00	4.502378673
Still	2014-07-25 00:00	1.840595055
Still	2014-07-26 00:00	1.41584235
Still	2014-07-27 00:00	1.274258115
Still	2014-07-28 00:00	1.217624421
Still	2014-07-29 00:00	1.13267388
Still	2014-07-30 00:00	1.019406492
Still	2014-07-31 00:00	0.991089645
Still	2014-08-01 00:00	0.934455951
Still	2014-08-02 00:00	1.047723339
Still	2014-08-03 00:00	0.991089645
Still	2014-08-04 00:00	0.962772798
Still	2014-08-05 00:00	0.934455951
Still	2014-08-06 00:00	0.906139104
Still	2014-08-07 00:00	0.877822257
Still	2014-08-08 00:00	0.792871716
Still	2014-08-09 00:00	0.821188563
Still	2014-08-10 00:00	0.736238022
Still	2014-08-11 00:00	0.736238022
Still	2014-08-12 00:00	0.821188563
Still	2014-08-13 00:00	4.360794438
Still	2014-08-14 00:00	2.746734159
Still	2014-08-15 00:00	1.359208656
Still	2014-08-16 00:00	1.104357033
Still	2014-08-17 00:00	0.962772798
Still	2014-08-18 00:00	0.877822257
Still	2014-08-19 00:00	0.877822257
Still	2014-08-20 00:00	0.821188563
Still	2014-08-21 00:00	0.821188563
Still	2014-08-22 00:00	0.877822257
Still	2014-08-23 00:00	0.792871716
Still	2014-08-24 00:00	0.707921175
Still	2014-08-25 00:00	0.707921175
Still	2014-08-26 00:00	0.736238022
Still	2014-08-27 00:00	0.934455951
Still	2014-08-28 00:00	1.670693973
Still	2014-08-29 00:00	0.821188563
Still	2014-08-30 00:00	0.764554869
Still	2014-08-31 00:00	1.41584235
Still	2014-09-01 00:00	2.095446678
Still	2014-09-02 00:00	1.047723339
Still	2014-09-03 00:00	0.934455951
Still	2014-09-04 00:00	0.792871716
Still	2014-09-05 00:00	0.707921175
Still	2014-09-06 00:00	0.877822257
Still	2014-09-07 00:00	1.302574962
Still	2014-09-08 00:00	0.877822257
Still	2014-09-09 00:00	0.764554869
Still	2014-09-10 00:00	0.707921175
Still	2014-09-11 00:00	0.679604328
Still	2014-09-12 00:00	0.651287481
Still	2014-09-13 00:00	0.792871716
Still	2014-09-14 00:00	0.934455951
Still	2014-09-15 00:00	0.707921175
Still	2014-09-16 00:00	0.764554869
Still	2014-09-17 00:00	0.707921175
Still	2014-09-18 00:00	0.651287481
Still	2014-09-19 00:00	0.594653787
Still	2014-09-20 00:00	0.622970634
Still	2014-09-21 00:00	0.679604328
Still	2014-09-22 00:00	0.736238022
Still	2014-09-23 00:00	0.679604328
Still	2014-09-24 00:00	0.622970634
Still	2014-09-25 00:00	0.594653787
Still	2014-09-26 00:00	0.594653787
Still	2014-09-27 00:00	0.622970634
Still	2014-09-28 00:00	0.594653787
Still	2014-09-29 00:00	0.56633694
Still	2014-09-30 00:00	0.594653787
Still	2014-10-01 00:00	0.934455951
Still	2014-10-02 00:00	0.821188563
Still	2014-10-03 00:00	0.651287481
Still	2014-10-04 00:00	3.454655334
Still	2014-10-05 00:00	3.171486864
