Lilli	dateTime	Discharge
Housatonic	2014-05-06 00:00	92.87925816
Housatonic	2014-05-07 00:00	83.53469865
Housatonic	2014-05-08 00:00	76.73865537
Housatonic	2014-05-09 00:00	72.49112832
Housatonic	2014-05-10 00:00	73.34063373
Housatonic	2014-05-11 00:00	77.02182384
Housatonic	2014-05-12 00:00	66.82775892
Housatonic	2014-05-13 00:00	58.89904176
Housatonic	2014-05-14 00:00	52.38616695
Housatonic	2014-05-15 00:00	50.68715613
Housatonic	2014-05-16 00:00	52.38616695
Housatonic	2014-05-17 00:00	94.29510051
Housatonic	2014-05-18 00:00	97.69312215
Housatonic	2014-05-19 00:00	88.34856264
Housatonic	2014-05-20 00:00	74.47330761
Housatonic	2014-05-21 00:00	61.44755799
Housatonic	2014-05-22 00:00	55.78418859
Housatonic	2014-05-23 00:00	59.18221023
Housatonic	2014-05-24 00:00	61.44755799
Housatonic	2014-05-25 00:00	59.4653787
Housatonic	2014-05-26 00:00	52.95250389
Housatonic	2014-05-27 00:00	47.28913449
Housatonic	2014-05-28 00:00	49.27131378
Housatonic	2014-05-29 00:00	44.45744979
Housatonic	2014-05-30 00:00	37.66140651
Housatonic	2014-05-31 00:00	35.11289028
Housatonic	2014-06-01 00:00	31.43170017
Housatonic	2014-06-02 00:00	28.88318394
Housatonic	2014-06-03 00:00	27.01427204
Housatonic	2014-06-04 00:00	38.79408039
Housatonic	2014-06-05 00:00	58.61587329
Housatonic	2014-06-06 00:00	69.94261209
Housatonic	2014-06-07 00:00	55.50102012
Housatonic	2014-06-08 00:00	41.34259662
Housatonic	2014-06-09 00:00	33.69704793
Housatonic	2014-06-10 00:00	30.86536323
Housatonic	2014-06-11 00:00	30.29902629
Housatonic	2014-06-12 00:00	31.43170017
Housatonic	2014-06-13 00:00	33.9802164
Housatonic	2014-06-14 00:00	45.87329214
Housatonic	2014-06-15 00:00	41.62576509
Housatonic	2014-06-16 00:00	34.82972181
Housatonic	2014-06-17 00:00	30.01585782
Housatonic	2014-06-18 00:00	26.58951933
Housatonic	2014-06-19 00:00	27.58060898
Housatonic	2014-06-20 00:00	26.30635086
Housatonic	2014-06-21 00:00	23.16318085
Housatonic	2014-06-22 00:00	20.50139723
Housatonic	2014-06-23 00:00	18.46258424
Housatonic	2014-06-24 00:00	17.78297992
Housatonic	2014-06-25 00:00	NA
Housatonic	2014-06-26 00:00	NA
Housatonic	2014-06-27 00:00	97.69312215
Housatonic	2014-06-28 00:00	105.9050078
Housatonic	2014-06-29 00:00	86.93272029
Housatonic	2014-06-30 00:00	53.8020093
Housatonic	2014-07-01 00:00	33.9802164
Housatonic	2014-07-02 00:00	35.67922722
Housatonic	2014-07-03 00:00	NA
Housatonic	2014-07-04 00:00	NA
Housatonic	2014-07-05 00:00	NA
Housatonic	2014-07-06 00:00	NA
Housatonic	2014-07-07 00:00	NA
Housatonic	2014-07-08 00:00	64.56241116
Housatonic	2014-07-09 00:00	58.61587329
Housatonic	2014-07-10 00:00	63.71290575
Housatonic	2014-07-11 00:00	49.27131378
Housatonic	2014-07-12 00:00	37.37823804
Housatonic	2014-07-13 00:00	31.71486864
Housatonic	2014-07-14 00:00	100.2416384
Housatonic	2014-07-15 00:00	108.1703555
Housatonic	2014-07-16 00:00	154.0436477
Housatonic	2014-07-17 00:00	193.404065
Housatonic	2014-07-18 00:00	148.9466152
Housatonic	2014-07-19 00:00	109.8693664
Housatonic	2014-07-20 00:00	84.10103559
Housatonic	2014-07-21 00:00	67.9604328
Housatonic	2014-07-22 00:00	56.06735706
Housatonic	2014-07-23 00:00	48.1386399
Housatonic	2014-07-24 00:00	73.34063373
Housatonic	2014-07-25 00:00	86.64955182
Housatonic	2014-07-26 00:00	73.05746526
Housatonic	2014-07-27 00:00	59.74854717
Housatonic	2014-07-28 00:00	69.65944362
Housatonic	2014-07-29 00:00	117.5149151
Housatonic	2014-07-30 00:00	133.6555178
Housatonic	2014-07-31 00:00	138.4693818
Housatonic	2014-08-01 00:00	126.2931376
Housatonic	2014-08-02 00:00	94.57826898
Housatonic	2014-08-03 00:00	68.52676974
Housatonic	2014-08-04 00:00	55.50102012
Housatonic	2014-08-05 00:00	47.57230296
Housatonic	2014-08-06 00:00	49.83765072
Housatonic	2014-08-07 00:00	54.08517777
Housatonic	2014-08-08 00:00	50.12081919
Housatonic	2014-08-09 00:00	41.90893356
Housatonic	2014-08-10 00:00	34.26338487
Housatonic	2014-08-11 00:00	30.29902629
Housatonic	2014-08-12 00:00	26.56120249
Housatonic	2014-08-13 00:00	56.35052553
Housatonic	2014-08-14 00:00	109.5861979
Housatonic	2014-08-15 00:00	72.49112832
Housatonic	2014-08-16 00:00	51.81983001
Housatonic	2014-08-17 00:00	40.20992274
Housatonic	2014-08-18 00:00	32.84754252
Housatonic	2014-08-19 00:00	28.60001547
Housatonic	2014-08-20 00:00	24.94714221
Housatonic	2014-08-21 00:00	22.93664607
Housatonic	2014-08-22 00:00	23.16318085
Housatonic	2014-08-23 00:00	25.37189491
Housatonic	2014-08-24 00:00	25.14536014
Housatonic	2014-08-25 00:00	23.04991346
Housatonic	2014-08-26 00:00	20.55803092
Housatonic	2014-08-27 00:00	19.96337714
Housatonic	2014-08-28 00:00	26.98595519
Housatonic	2014-08-29 00:00	21.83228904
Housatonic	2014-08-30 00:00	17.66971253
Housatonic	2014-08-31 00:00	16.93347451
Housatonic	2014-09-01 00:00	17.44317775
Housatonic	2014-09-02 00:00	16.87684081
Housatonic	2014-09-03 00:00	15.0645626
Housatonic	2014-09-04 00:00	15.0645626
Housatonic	2014-09-05 00:00	16.62198919
Housatonic	2014-09-06 00:00	15.74416693
Housatonic	2014-09-07 00:00	15.09287945
Housatonic	2014-09-08 00:00	15.65921639
Housatonic	2014-09-09 00:00	13.96020557
Housatonic	2014-09-10 00:00	13.13901701
Housatonic	2014-09-11 00:00	11.69485781
Housatonic	2014-09-12 00:00	11.15683772
Housatonic	2014-09-13 00:00	11.49663988
Housatonic	2014-09-14 00:00	11.01525348
Housatonic	2014-09-15 00:00	11.24178826
Housatonic	2014-09-16 00:00	11.12852087
Housatonic	2014-09-17 00:00	10.93030294
Housatonic	2014-09-18 00:00	10.9019861
Housatonic	2014-09-19 00:00	10.39228285
Housatonic	2014-09-20 00:00	9.939213297
Housatonic	2014-09-21 00:00	9.542777439
Housatonic	2014-09-22 00:00	9.429510051
Housatonic	2014-09-23 00:00	9.033074193
Housatonic	2014-09-24 00:00	8.580004641
Housatonic	2014-09-25 00:00	8.240202477
Housatonic	2014-09-26 00:00	8.126935089
Housatonic	2014-09-27 00:00	7.872083466
Housatonic	2014-09-28 00:00	7.702182384
Housatonic	2014-09-29 00:00	7.390697067
Housatonic	2014-09-30 00:00	7.36238022
Housatonic	2014-10-01 00:00	7.503964455
Housatonic	2014-10-02 00:00	7.588914996
Housatonic	2014-10-03 00:00	8.013667701
Housatonic	2014-10-04 00:00	8.891489958
Housatonic	2014-10-05 00:00	10.4205997
Housatonic	2014-10-06 00:00	11.97802628
Housatonic	2014-10-07 00:00	11.77980835
Housatonic	2014-10-08 00:00	13.62040341
Housatonic	2014-10-09 00:00	17.64139568
Housatonic	2014-10-10 00:00	15.09287945
Housatonic	2014-10-11 00:00	12.65763061
Housatonic	2014-10-12 00:00	11.38337249
Housatonic	2014-10-13 00:00	10.81703555
Housatonic	2014-10-14 00:00	11.63822412
Housatonic	2014-10-15 00:00	10.13743123
Housatonic	2014-10-16 00:00	19.76515921
