site	dateTime	TP	TN	PO4	NO3	NH4	NO2	DOC
OhneRiver	2013-01-14 00:00:00	61	2650	45	1380	90	7	17
OhneRiver	2013-02-12 00:00:00	54	1960	46	1300	178	6	11.6
OhneRiver	2013-03-18 00:00:00	78	2370	60	1260	157	6	9.32
OhneRiver	2013-04-15 00:00:00	109	2870	71	2110	160	4	9.6
OhneRiver	2013-05-20 00:00:00	71	1930	38	846	43	91	17.9
OhneRiver	2013-06-18 00:00:00	37	1260	24	488	27	2.8	8.9
OhneRiver	2013-07-15 00:00:00	31	1150	13	218	75	3	12.5
OhneRiver	2013-08-12 00:00:00	53	1230	10	475	56	8	11.6
OhneRiver	2013-09-16 00:00:00	41	2440	19	387	19	4	10.6
OhneRiver	2013-10-22 00:00:00	46	1780	25	490	31	3	10.5
OhneRiver	2013-11-18 00:00:00	51	1940	35	700	59	12	12.7
OhneRiver	2013-12-16 00:00:00	50	2660	27	1480	68	11	15.5
