site	dateTime	TP	TN	PO4	NO3	NH4	NO2	DOC
Vaike-EmajogiRiver	2013-01-14 00:00:00	66	3300	46	1500	70	12	17.4
Vaike-EmajogiRiver	2013-02-12 00:00:00	79	1940	57	1180	117	6	9.43
Vaike-EmajogiRiver	2013-03-18 00:00:00	77	2150	57	912	121	7	9
Vaike-EmajogiRiver	2013-04-15 00:00:00	133	2630	86	1050	215	2	9.2
Vaike-EmajogiRiver	2013-05-20 00:00:00	59	1460	20	407	25	92	16
Vaike-EmajogiRiver	2013-06-18 00:00:00	48	1470	4	256	37	8	11.5
Vaike-EmajogiRiver	2013-07-15 00:00:00	44	1050	10	26	138	3	11.4
Vaike-EmajogiRiver	2013-08-12 00:00:00	58	930	13	50	109	7	7.67
Vaike-EmajogiRiver	2013-09-16 00:00:00	51	1460	10	144	9	5	9.5
Vaike-EmajogiRiver	2013-10-22 00:00:00	69	1490	40	329	88	6	9.11
Vaike-EmajogiRiver	2013-11-18 00:00:00	77	2500	38	1400	89	15	15.4
Vaike-EmajogiRiver	2013-12-16 00:00:00	63	2230	34	1220	72	9	13.4
