site	dateTime	discharge
TanassilmaRiver	2013-01-01 00:00:00	6.71
TanassilmaRiver	2013-01-02 00:00:00	9.16
TanassilmaRiver	2013-01-03 00:00:00	13.38
TanassilmaRiver	2013-01-04 00:00:00	18
TanassilmaRiver	2013-01-05 00:00:00	21.17
TanassilmaRiver	2013-01-06 00:00:00	22.03
TanassilmaRiver	2013-01-07 00:00:00	19.73
TanassilmaRiver	2013-01-08 00:00:00	16.42
TanassilmaRiver	2013-01-09 00:00:00	13.45
TanassilmaRiver	2013-01-10 00:00:00	11.2
TanassilmaRiver	2013-01-11 00:00:00	9.48
TanassilmaRiver	2013-01-12 00:00:00	8.16
TanassilmaRiver	2013-01-13 00:00:00	7.01
TanassilmaRiver	2013-01-14 00:00:00	6.02
TanassilmaRiver	2013-01-15 00:00:00	5.3
TanassilmaRiver	2013-01-16 00:00:00	4.8
TanassilmaRiver	2013-01-17 00:00:00	4.42
TanassilmaRiver	2013-01-18 00:00:00	4.09
TanassilmaRiver	2013-01-19 00:00:00	3.77
TanassilmaRiver	2013-01-20 00:00:00	3.43
TanassilmaRiver	2013-01-21 00:00:00	3.17
TanassilmaRiver	2013-01-22 00:00:00	2.98
TanassilmaRiver	2013-01-23 00:00:00	2.78
TanassilmaRiver	2013-01-24 00:00:00	2.61
TanassilmaRiver	2013-01-25 00:00:00	2.46
TanassilmaRiver	2013-01-26 00:00:00	2.38
TanassilmaRiver	2013-01-27 00:00:00	2.32
TanassilmaRiver	2013-01-28 00:00:00	2.25
TanassilmaRiver	2013-01-29 00:00:00	2.16
TanassilmaRiver	2013-01-30 00:00:00	2.15
TanassilmaRiver	2013-01-31 00:00:00	2.26
TanassilmaRiver	2013-02-01 00:00:00	2.39
TanassilmaRiver	2013-02-02 00:00:00	2.46
TanassilmaRiver	2013-02-03 00:00:00	2.46
TanassilmaRiver	2013-02-04 00:00:00	2.43
TanassilmaRiver	2013-02-05 00:00:00	2.49
TanassilmaRiver	2013-02-06 00:00:00	2.56
TanassilmaRiver	2013-02-07 00:00:00	2.62
TanassilmaRiver	2013-02-08 00:00:00	2.68
TanassilmaRiver	2013-02-09 00:00:00	2.76
TanassilmaRiver	2013-02-10 00:00:00	2.87
TanassilmaRiver	2013-02-11 00:00:00	2.98
TanassilmaRiver	2013-02-12 00:00:00	3.02
TanassilmaRiver	2013-02-13 00:00:00	3.04
TanassilmaRiver	2013-02-14 00:00:00	3.04
TanassilmaRiver	2013-02-15 00:00:00	3.02
TanassilmaRiver	2013-02-16 00:00:00	3.04
TanassilmaRiver	2013-02-17 00:00:00	3.05
TanassilmaRiver	2013-02-18 00:00:00	3.1
TanassilmaRiver	2013-02-19 00:00:00	3.1
TanassilmaRiver	2013-02-20 00:00:00	2.98
TanassilmaRiver	2013-02-21 00:00:00	2.94
TanassilmaRiver	2013-02-22 00:00:00	2.79
TanassilmaRiver	2013-02-23 00:00:00	2.72
TanassilmaRiver	2013-02-24 00:00:00	2.55
TanassilmaRiver	2013-02-25 00:00:00	2.43
TanassilmaRiver	2013-02-26 00:00:00	2.33
TanassilmaRiver	2013-02-27 00:00:00	2.29
TanassilmaRiver	2013-02-28 00:00:00	2.26
TanassilmaRiver	2013-03-01 00:00:00	2.33
TanassilmaRiver	2013-03-02 00:00:00	2.32
TanassilmaRiver	2013-03-03 00:00:00	2.35
TanassilmaRiver	2013-03-04 00:00:00	2.35
TanassilmaRiver	2013-03-05 00:00:00	2.36
TanassilmaRiver	2013-03-06 00:00:00	2.4
TanassilmaRiver	2013-03-07 00:00:00	2.38
TanassilmaRiver	2013-03-08 00:00:00	2.25
TanassilmaRiver	2013-03-09 00:00:00	2.15
TanassilmaRiver	2013-03-10 00:00:00	2.04
TanassilmaRiver	2013-03-11 00:00:00	1.93
TanassilmaRiver	2013-03-12 00:00:00	1.84
TanassilmaRiver	2013-03-13 00:00:00	1.77
TanassilmaRiver	2013-03-14 00:00:00	1.67
TanassilmaRiver	2013-03-15 00:00:00	1.58
TanassilmaRiver	2013-03-16 00:00:00	1.48
TanassilmaRiver	2013-03-17 00:00:00	1.42
TanassilmaRiver	2013-03-18 00:00:00	1.37
TanassilmaRiver	2013-03-19 00:00:00	1.33
TanassilmaRiver	2013-03-20 00:00:00	1.31
TanassilmaRiver	2013-03-21 00:00:00	1.33
TanassilmaRiver	2013-03-22 00:00:00	1.32
TanassilmaRiver	2013-03-23 00:00:00	1.27
TanassilmaRiver	2013-03-24 00:00:00	1.27
TanassilmaRiver	2013-03-25 00:00:00	1.29
TanassilmaRiver	2013-03-26 00:00:00	1.32
TanassilmaRiver	2013-03-27 00:00:00	1.34
TanassilmaRiver	2013-03-28 00:00:00	1.34
TanassilmaRiver	2013-03-29 00:00:00	1.32
TanassilmaRiver	2013-03-30 00:00:00	1.32
TanassilmaRiver	2013-03-31 00:00:00	1.34
TanassilmaRiver	2013-04-01 00:00:00	1.38
TanassilmaRiver	2013-04-02 00:00:00	1.4
TanassilmaRiver	2013-04-03 00:00:00	1.42
TanassilmaRiver	2013-04-04 00:00:00	1.44
TanassilmaRiver	2013-04-05 00:00:00	1.45
TanassilmaRiver	2013-04-06 00:00:00	1.48
TanassilmaRiver	2013-04-07 00:00:00	1.53
TanassilmaRiver	2013-04-08 00:00:00	1.58
TanassilmaRiver	2013-04-09 00:00:00	1.64
TanassilmaRiver	2013-04-10 00:00:00	1.68
TanassilmaRiver	2013-04-11 00:00:00	1.79
TanassilmaRiver	2013-04-12 00:00:00	2.15
TanassilmaRiver	2013-04-13 00:00:00	3.67
TanassilmaRiver	2013-04-14 00:00:00	6.97
TanassilmaRiver	2013-04-15 00:00:00	10.92
TanassilmaRiver	2013-04-16 00:00:00	18.14
TanassilmaRiver	2013-04-17 00:00:00	51.41
TanassilmaRiver	2013-04-18 00:00:00	70.7
TanassilmaRiver	2013-04-19 00:00:00	65.09
TanassilmaRiver	2013-04-20 00:00:00	55.73
TanassilmaRiver	2013-04-21 00:00:00	44.21
TanassilmaRiver	2013-04-22 00:00:00	33.41
TanassilmaRiver	2013-04-23 00:00:00	24.77
TanassilmaRiver	2013-04-24 00:00:00	19.15
TanassilmaRiver	2013-04-25 00:00:00	16.13
TanassilmaRiver	2013-04-26 00:00:00	14.83
TanassilmaRiver	2013-04-27 00:00:00	13.94
TanassilmaRiver	2013-04-28 00:00:00	13
TanassilmaRiver	2013-04-29 00:00:00	11.66
TanassilmaRiver	2013-04-30 00:00:00	10.2
TanassilmaRiver	2013-05-01 00:00:00	8.52
TanassilmaRiver	2013-05-02 00:00:00	7.17
TanassilmaRiver	2013-05-03 00:00:00	6.28
TanassilmaRiver	2013-05-04 00:00:00	5.7
