site	dateTime	TP	TN	PO4	NO3	NH4	NO2	DOC
KongutaHeadDitch	2013-01-14 00:00:00	76	10900	64	9700	486	154	12.5
KongutaHeadDitch	2013-02-12 00:00:00	125	6240	113	4810	578	17	10.5
KongutaHeadDitch	2013-03-18 00:00:00	134	4820	109	3940	738	27	11
KongutaHeadDitch	2013-04-15 00:00:00	272	8050	213	6750	464	6	14.1
KongutaHeadDitch	2013-05-20 00:00:00	173	9750	90	8010	500	322	38.6
KongutaHeadDitch	2013-06-18 00:00:00	140	3440	72	247	400	45	18
KongutaHeadDitch	2013-07-15 00:00:00	81	2860	46	350	466	7	14.1
KongutaHeadDitch	2013-08-12 00:00:00	129	1770	78	278	57	10	14.5
KongutaHeadDitch	2013-09-16 00:00:00	95	2410	56	322	27	7	11
KongutaHeadDitch	2013-10-22 00:00:00	80	2470	41	647	417	9	14.5
KongutaHeadDitch	2013-11-18 00:00:00	79	4120	45	1800	1040	20	16.8
KongutaHeadDitch	2013-12-16 00:00:00	90	6010	57	3920	660	15	12.3
