site	dateTime	TP	TN	PO4	NO3	NH4	NO2	DOC
TanassilmaRiver	2013-01-14 00:00:00	68	4170	49	3000	45	10	16
TanassilmaRiver	2013-02-12 00:00:00	96	2720	92	1850	173	8	10.9
TanassilmaRiver	2013-03-18 00:00:00	142	2660	118	1630	268	12	12
TanassilmaRiver	2013-04-15 00:00:00	115	3400	89	2150	248	5	8.3
TanassilmaRiver	2013-05-20 00:00:00	89	1870	52	558	30	134	15.1
TanassilmaRiver	2013-06-18 00:00:00	85	1270	46	8	47	1	13.2
TanassilmaRiver	2013-07-15 00:00:00	79	1220	54	7	50	1	14.7
TanassilmaRiver	2013-08-12 00:00:00	70	1010	47	23	2	1	15.2
TanassilmaRiver	2013-09-16 00:00:00	52	1220	30	1	15	1	11.2
TanassilmaRiver	2013-10-22 00:00:00	43	1110	20	132	7	3	9.2
TanassilmaRiver	2013-11-18 00:00:00	185	6150	162	1390	100	18	19.4
TanassilmaRiver	2013-12-16 00:00:00	47	4530	27	3300	33	10	13.9
