site	dateTime	TN	TP	DOC	PO4	NO3	NH4
Struptjärn	2012-03-28 20:00:00	575	15	30.4	3	34	30
Struptjärn	2012-03-29 20:00:00	582	14	29.5	0	32	31
Struptjärn	2012-03-30 20:00:00	564	11	29.9	3	28	24
Struptjärn	2012-03-31 20:00:00	503	12	27.3	0	28	24
Struptjärn	2012-04-13 20:00:00	523	13	26.4	3	33	35
Struptjärn	2012-04-14 20:00:00	483	12	26.5	3	31	30
Struptjärn	2012-04-15 20:00:00	533	12	25.2	0	31	27
Struptjärn	2012-04-16 20:00:00	511	10	24.3	0	31	24
Struptjärn	2012-04-17 20:00:00	441	8	24.6	4	30	23
Struptjärn	2012-04-18 20:00:00	453	3	24.4	4	29	23
Struptjärn	2012-04-19 20:00:00	531	10	23.4	2	31	22
Struptjärn	2012-04-20 20:00:00	469	18	23.6	3	32	22
Struptjärn	2012-04-21 20:00:00	454	17	22.8	3	33	21
Struptjärn	2012-04-22 20:00:00	474	10	22.7	4	32	21
Struptjärn	2012-04-23 20:00:00	434	10	23.6	3	30	21
Struptjärn	2012-04-24 20:00:00	496	23	27.3	2	30	25
Struptjärn	2012-04-25 20:00:00	495	13	27	3	31	29
Struptjärn	2012-04-26 20:00:00	490	14	26.3	5	38	34
Struptjärn	2012-04-27 20:00:00	564	21	26.2	4	66	63
Struptjärn	2012-04-28 20:00:00	500	16	22.7	3	43	36
Struptjärn	2012-04-29 20:00:00	443	15	21.8	3	40	34
Struptjärn	2012-04-30 20:00:00	498	16	19.8	4	34	27
Struptjärn	2012-05-01 20:00:00	473	13	19.6	4	37	43
Struptjärn	2012-05-02 20:00:00	439	16	18	5	40	44
Struptjärn	2012-05-03 20:00:00	411	11	17.5	2	33	35
Struptjärn	2012-05-04 20:00:00	367	10	18	3	30	30
Struptjärn	2012-05-05 20:00:00	364	9	17.7	2	26	24
Struptjärn	2012-05-06 20:00:00	400	11	18.1	2	22	23
Struptjärn	2012-05-07 20:00:00	378	11	18.3	3	26	29
Struptjärn	2012-05-08 20:00:00	382	12	18.8	2	34	40
Struptjärn	2012-05-09 20:00:00	454	13	18	3	39	46
Struptjärn	2012-05-10 20:00:00	414	15	17.4	3	36	42
Struptjärn	2012-05-11 20:00:00	346	14	15.1	3	29	35
Struptjärn	2012-05-12 20:00:00	352	12	14.1	2	25	31
Struptjärn	2012-05-13 20:00:00	339	11	13.8	3	23	23
Struptjärn	2012-05-14 20:00:00	348	13	13.9	3	22	27
Struptjärn	2012-05-15 20:00:00	333	15	12.9	3	18	21
Struptjärn	2012-05-19 20:00:00	404	11	15	3	20	12
Struptjärn	2012-05-23 20:00:00	375	11	16.2	4	18	20
Struptjärn	2012-05-31 10:00:00	366	17	17.1	2	15	9
Struptjärn	2012-06-03 20:00:00	464	14	23	0	14	0
Struptjärn	2012-06-11 20:00:00	534	13	30.3	1	10	6
Struptjärn	2012-06-13 10:00:00	536	13	28.4	1	10	6
Struptjärn	2012-06-20 20:00:00	506	14	31.1	0	7	0
Struptjärn	2012-06-26 10:00:00	545	17	27.3	1	5	2
Struptjärn	2012-07-02 20:00:00	578	16	34.2	0	4	30
Struptjärn	2012-07-04 20:00:00	566	16	33.1	0	3	26
Struptjärn	2012-07-07 20:00:00	618	26	33.1	2	4	23
Struptjärn	2012-07-10 10:00:00	662	22	35.3	10	2	10
Struptjärn	2012-07-24 10:00:00	601	31	28.9	4	4	10
Struptjärn	2012-08-03 20:00:00	665	30	31	5	7	17
Struptjärn	2012-08-04 20:00:00	654	23	29.9	5	7	17
Struptjärn	2012-08-05 20:00:00	634	30	34.7	4	7	15
Struptjärn	2012-08-07 10:00:00	759	30	36.6	10	3	9
Struptjärn	2012-08-09 20:00:00	728	27	34	5	6	4
Struptjärn	2012-08-11 20:00:00	734	29	33.9	4	7	0
Struptjärn	2012-08-15 20:00:00	927	41	38.5	7	8	22
Struptjärn	2012-08-21 10:00:00	1459	109	71.2	6	6	4
Struptjärn	2012-08-25 20:00:00	592	27	28.1	0	6	1
Struptjärn	2012-08-27 20:00:00	906	24	48.1	0	11	17
Struptjärn	2012-08-30 20:00:00	752	15	43.3	0	9	0
Struptjärn	2012-09-06 10:00:00	620	15	40.6	2	6	4
Struptjärn	2012-09-11 20:00:00	621	15	32.3	3	4	4
Struptjärn	2012-09-12 20:00:00	575	13	33.3	3	4	3
Struptjärn	2012-09-13 20:00:00	525	14	33	3	4	3
Struptjärn	2012-09-16 10:00:00	606	12	35.8	1	6	7
Struptjärn	2012-09-26 20:00:00	518	19	27.1	2	4	8
Struptjärn	2012-09-27 20:00:00	903	26	52.2	2	7	8
Struptjärn	2012-09-28 20:00:00	801	18	46.9	3	5	12
Struptjärn	2012-10-02 10:00:00	683	14	38.1	1	6	9
Struptjärn	2012-10-04 20:00:00	812	NA	40.6	1	6	0
Struptjärn	2012-10-05 20:00:00	790	NA	38.8	1	7	0
Struptjärn	2012-10-06 20:00:00	880	NA	42.5	1	6	0
Struptjärn	2012-10-07 20:00:00	738	NA	38.9	1	8	0
Struptjärn	2012-10-08 20:00:00	706	NA	37.3	1	8	0
