site	dateTime	TN	TP	DOC	PO4	NO3	NH4
Struptjärn	2012-03-28 10:00:00	550	11	20.3	6	61	32
Struptjärn	2012-05-31 10:00:00	371	32	17.9	3	8	5
Struptjärn	2012-06-13 10:00:00	408	17	16.9	4	11	6
Struptjärn	2012-06-26 10:00:00	383	19	16.7	4	10	6
Struptjärn	2012-07-10 10:00:00	394	23	17.2	4	3	11
Struptjärn	2012-07-24 10:00:00	404	31	16.3	1	9	7
Struptjärn	2012-08-07 10:00:00	409	28	15.5	2	4	7
Struptjärn	2012-08-21 10:00:00	433	30	19.7	2	10	4
Struptjärn	2012-09-06 10:00:00	482	25	25.1	2	12	6
Struptjärn	2012-09-16 10:00:00	466	22	25.4	1	13	5
Struptjärn	2012-10-02 10:00:00	582	27	26.0	2	3	8
