id	site	dateTime	TP(µg/L)	TN(µg/L)	SRP(µgP/L)	PO4(µgP/L)	NH4(µgN/L)	NO3+NO2(µgN/L)	NO3(µgN/L)	NO2(µgN/L)	DOC(mgC/L)	depth_m	Comment
31	Vortsjarv	2013-06-18//00:00:00	36	880	NA	18	20	NA	100	1	13.1	NA	NA
32	Vortsjarv	2013-07-24//00:00:00	41	920	NA	15	20	NA	10	1	11.2	NA	NA
33	Vortsjarv	2013-08-14//00:00:00	48	900	NA	17	20	NA	10	1	11.7	NA	NA
34	Vortsjarv	2013-09-17//00:00:00	39	720	NA	20	20	NA	10	3	12.9	NA	NA
35	Vortsjarv	2013-10-15//00:00:00	43	1000	NA	20	20	NA	10	1	12.2	NA	NA
36	Vortsjarv	2013-11-19//00:00:00	88	1500	NA	17	77	NA	76	3	10.4	NA	NA
37	Vortsjarv	2013-12-17//00:00:00	50	1200	NA	9	81	NA	240	5	11.7	NA	NA
38	Langtjern	2013-06-09//13:47:00	7	250	NA	NA	5	NA	0	NA	10.1	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2018
39	Langtjern	2013-06-16//13:55:00	4	245	NA	NA	4	NA	1	NA	9.9	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2019
40	Langtjern	2013-06-23//16:12:00	8	250	NA	NA	5	NA	3	NA	10.4	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2020
41	Langtjern	2013-06-30//13:39:00	12	250	NA	NA	5	NA	0	NA	11.5	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2021
42	Langtjern	2013-07-07//10:15:00	4	260	NA	NA	2	NA	0	NA	11.4	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2022
43	Langtjern	2013-07-14//11:11:00	4	255	NA	NA	5	NA	1	NA	11.2	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2023
44	Langtjern	2013-07-21//12:02:00	3	265	NA	NA	3	NA	1	NA	11.1	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2024
45	Langtjern	2013-07-29//20:10:00	8	305	NA	NA	12	NA	3	NA	10.1	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2025
46	Langtjern	2013-08-04//11:50:00	5	315	NA	NA	10	NA	5	NA	10.2	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2026
47	Langtjern	2013-08-11//13:19:00	5	290	NA	NA	4	NA	4	NA	10.6	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2027
48	Langtjern	2013-08-18//14:05:00	4	295	NA	NA	0	NA	1	NA	12.8	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2028
49	Langtjern	2013-08-25//15:31:00	4	245	NA	NA	21	NA	0	NA	11.8	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2029
50	Langtjern	2013-09-02//16:25:00	3	320	NA	NA	9	NA	2	NA	12.1	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2030
51	Langtjern	2013-09-08//17:42:00	12	390	NA	NA	22	NA	2	NA	11.6	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2031
52	Langtjern	2013-09-15//14:12:00	4	305	NA	NA	10	NA	8	NA	11.2	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2032
53	Langtjern	2013-09-22//13:40:00	10	305	NA	NA	0	NA	2	NA	12.9	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2033
54	Langtjern	2013-09-29//00:00:00	7	300	NA	NA	9	NA	2	NA	12.6	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2034
55	Langtjern	2013-10-07//14:50:00	6	280	NA	NA	2	NA	5	NA	11.6	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2035
56	Langtjern	2013-10-13//13:50:00	3	260	NA	NA	11	NA	5	NA	11.5	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2036
57	Langtjern	2013-10-20//13:00:00	9	265	NA	NA	17	NA	6	NA	11.2	NA	Zero_NO3_means_less_than_one;Zero_NH4_means_less_than_two;TOC_ASSUMED_TO_BE_DOC_FOLLOWING_DEWIT_ETAL_2037
