id	site	dateTime	TP(µg/L)	TN(µg/L)	SRP(µgP/L)	PO4(µgP/L)	NH4(µgN/L)	NO3+NO2(µgN/L)	NO3(µgN/L)	NO2(µgN/L)	DOC(mgC/L)	depth_m	Comment
146	Feeagh	2013-04-22//00:00:00	8	376	NA	NA	NA	NA	NA	NA	5.38112	NA	DOC_modelled_from_Abs
147	Feeagh	2013-05-27//00:00:00	6	332	NA	NA	NA	NA	NA	NA	4.89812	NA	DOC_modelled_from_Abs
148	Feeagh	2013-06-24//00:00:00	5	361	NA	NA	NA	NA	NA	NA	4.62212	NA	DOC_modelled_from_Abs
149	Feeagh	2013-07-23//00:00:00	7	333	NA	NA	NA	NA	NA	NA	5.79512	NA	DOC_modelled_from_Abs
150	Feeagh	2013-08-15//00:00:00	7	378	NA	NA	NA	NA	NA	NA	6.14012	NA	DOC_modelled_from_Abs
151	Feeagh	2013-09-13//00:00:00	6	528	NA	NA	NA	NA	NA	NA	5.38112	NA	DOC_modelled_from_Abs
152	Feeagh	2013-10-14//00:00:00	7	601	NA	NA	NA	NA	NA	NA	5.86412	NA	DOC_modelled_from_Abs
153	Feeagh	2013-11-06//00:00:00	NA	NA	NA	NA	NA	NA	NA	NA	6.20912	NA	DOC_modelled_from_Abs
154	Feeagh	2013-11-21//00:00:00	7	360	NA	NA	NA	NA	NA	NA	6.14012	NA	DOC_modelled_from_Abs
155	Feeagh	2013-12-17//00:00:00	9	393	NA	NA	NA	NA	NA	NA	6.20912	NA	DOC_modelled_from_Abs
156	Morris	2013-05-15//09:12:00	25.31	759.8450882	7.76	NA	NA	NA	196.92	NA	13.05	NA	NA
157	Morris	2013-05-23//09:00:00	25.94	572.5327466	5.82	NA	NA	NA	176.23	NA	17.65	NA	NA
158	Morris	2013-05-30//09:15:00	27.18	843.2149322	8.21	NA	NA	NA	195.02	NA	16.755	NA	NA
159	Morris	2013-06-06//08:30:00	30.41	857.8402391	8.36	NA	NA	NA	208.21	NA	16.02	NA	NA
160	Morris	2013-06-17//08:00:00	29.34	1019.232245	17.63	NA	NA	NA	58.57	NA	11.885	NA	NA
161	Morris	2013-07-02//12:15:00	34.2	852.8706623	8.28	NA	NA	NA	257.78	NA	18.5	NA	NA
162	Morris	2013-07-19//07:45:00	32.21	865.3244187	11.35	NA	NA	NA	264.38	NA	20.66	NA	NA
163	Morris	2013-08-01//09:35:00	37.94	928.760469	7.48	NA	NA	NA	245.27	NA	13.3	NA	NA
164	Morris	2013-08-13//11:15:00	33.65	777.030558	7.02	NA	NA	NA	249.14	NA	23.19	NA	NA
165	Morris	2013-09-14//14:25:00	38.52	1233.079669	7.81	NA	NA	NA	405.88	NA	22.38	NA	NA
166	Lilli	2014-06-05//00:00:00	28	389	NA	NA	NA	NA	NA	NA	NA	NA	NA
167	Lilli	2014-06-12//00:00:00	17	449	NA	NA	NA	NA	NA	NA	NA	NA	NA
168	Lilli	2014-06-18//00:00:00	60	643	NA	NA	NA	NA	NA	NA	NA	NA	NA
169	Lilli	2014-06-26//00:00:00	16	413	NA	NA	NA	NA	NA	NA	NA	NA	NA
170	Lilli	2014-07-02//00:00:00	25	421	NA	NA	NA	NA	NA	NA	NA	NA	NA
171	Lilli	2014-07-17//00:00:00	35	496	NA	NA	NA	NA	NA	NA	NA	NA	NA
172	Lilli	2014-07-23//00:00:00	73	791	NA	NA	NA	NA	NA	NA	NA	NA	NA
173	Lilli	2014-07-30//00:00:00	34	517	NA	NA	NA	NA	NA	NA	NA	NA	NA
174	Lilli	2014-08-07//00:00:00	42	657	NA	NA	NA	NA	NA	NA	NA	NA	NA
175	Lilli	2014-08-13//00:00:00	23	471	NA	NA	NA	NA	NA	NA	NA	NA	NA
176	Lilli	2014-08-20//00:00:00	23	482	NA	NA	NA	NA	NA	NA	NA	NA	NA
177	Lilli	2014-08-27//00:00:00	28	449	NA	NA	NA	NA	NA	NA	NA	NA	NA
178	Lilli	2014-09-04//00:00:00	32	565	NA	NA	NA	NA	NA	NA	NA	NA	NA
179	Lilli	2014-09-11//00:00:00	29	506	NA	NA	NA	NA	NA	NA	NA	NA	NA
180	Lilli	2014-09-18//00:00:00	20	491	NA	NA	NA	NA	NA	NA	NA	NA	NA
181	Lilli	2014-10-03//00:00:00	13	387	NA	NA	NA	NA	NA	NA	NA	NA	NA
182	Harp	2013-05-07//00:00:00	4.3	322	NA	NA	NA	NA	NA	NA	4.4	NA	NA
183	Harp	2013-05-31//00:00:00	4.2	261	NA	NA	NA	NA	NA	NA	4.6	NA	NA
184	Harp	2013-06-07//00:00:00	5	378	NA	NA	NA	NA	NA	NA	4.9	NA	NA
185	Harp	2013-06-24//00:00:00	6.0	235	NA	NA	NA	NA	NA	NA	5.4	NA	NA
186	Harp	2013-07-02//00:00:00	6.5	213	NA	NA	NA	NA	NA	NA	5.6	NA	NA
187	Harp	2013-07-23//00:00:00	5.4	271	NA	NA	NA	NA	NA	NA	5.2	NA	NA
188	Harp	2013-08-09//00:00:00	5.5	284	NA	NA	NA	NA	NA	NA	4.9	NA	NA
189	Harp	2013-08-22//00:00:00	4.7	250	NA	NA	NA	NA	NA	NA	5.2	NA	NA
190	Harp	2013-09-04//00:00:00	5.7	269	NA	NA	NA	NA	NA	NA	5.8	NA	NA
191	Harp	2013-09-30//00:00:00	6.8	228	NA	NA	NA	NA	NA	NA	5.4	NA	NA
192	Harp	2013-10-08//00:00:00	5.7	242	NA	NA	NA	NA	NA	NA	5	NA	NA
193	Harp	2013-10-29//00:00:00	6.1	268	NA	NA	NA	NA	NA	NA	5.5	NA	NA
194	Harp	2013-11-26//00:00:00	5.9	303	NA	NA	NA	NA	NA	NA	4.5	NA	NA
195	Lillsjölidtjärnen	2012-04-03//10:30:00	14	424	NA	4	8	NA	54	NA	16.3	NA	NA
196	Lillsjölidtjärnen	2012-05-28//10:30:00	13	353	NA	0	5	NA	4	NA	13.7	NA	NA
197	Lillsjölidtjärnen	2012-06-09//10:30:00	45	335	NA	3	11	NA	5	NA	13.6	NA	NA
198	Lillsjölidtjärnen	2012-06-25//10:30:00	15	325	NA	1	7	NA	6	NA	13.9	NA	NA
199	Lillsjölidtjärnen	2012-07-09//10:30:00	12	378	NA	3	17	NA	3	NA	14.2	NA	NA
200	Lillsjölidtjärnen	2012-07-23//10:30:00	16	375	NA	2	18	NA	8	NA	13.9	NA	NA
201	Lillsjölidtjärnen	2012-08-06//10:30:00	17	352	NA	1	17	NA	9	NA	13.4	NA	NA
202	Lillsjölidtjärnen	2012-08-20//10:30:00	14	334	NA	1	15	NA	7	NA	16	NA	NA
203	Lillsjölidtjärnen	2012-09-04//10:30:00	15	515	NA	1	20	NA	15	NA	19.3	NA	NA
204	Lillsjölidtjärnen	2012-09-15//10:30:00	14	479	NA	1	18	NA	13	NA	18.4	NA	NA
205	Lillsjölidtjärnen	2012-10-01//10:30:00	31	444	NA	0	28	NA	15	NA	18.6	NA	NA
206	Nästjärn	2013-04-05//10:00:00	7	290	NA	1	2	NA	55	NA	8.7	NA	NA
207	Nästjärn	2013-05-14//10:00:00	8	213	NA	5	0	NA	2	NA	8.3	NA	NA
208	Nästjärn	2013-05-29//10:00:00	14	147	NA	2	6	NA	2	NA	7.4	NA	NA
209	Nästjärn	2013-06-12//10:00:00	9	263	NA	0	0	NA	0	NA	8.1	NA	NA
210	Nästjärn	2013-06-26//10:00:00	8	229	NA	0	5	NA	1	NA	9	NA	NA
211	Nästjärn	2013-07-10//10:00:00	8	315	NA	1	0	NA	0	NA	9.2	NA	NA
212	Nästjärn	2013-07-24//10:00:00	7	247	NA	0	4	NA	5	NA	7.9	NA	NA
213	Nästjärn	2013-08-07//10:00:00	10	344	NA	3	10	NA	3	NA	8.2	NA	NA
214	Nästjärn	2013-08-21//10:00:00	5	499	NA	1	0	NA	1	NA	7.6	NA	NA
215	Nästjärn	2013-09-04//10:00:00	7	372	NA	0	6	NA	19	NA	7.5	NA	NA
216	Nästjärn	2013-09-18//10:00:00	8	335	NA	1	9	NA	3	NA	8.3	NA	NA
217	Nästjärn	2013-10-01//10:00:00	9	245	NA	0	3	NA	5	NA	8.4	NA	NA
218	Nästjärn	2013-10-14//10:00:00	9	307	NA	4	28	NA	12	NA	8.6	NA	NA
219	Övre_Björntjärn	2012-03-20//14:00:00	19	473	NA	7	26	NA	63	NA	18.3	NA	NA
220	Övre_Björntjärn	2012-06-04//14:00:00	23	398	NA	7	3	NA	5	NA	16.2	NA	NA
221	Övre_Björntjärn	2012-06-18//14:00:00	16	351	NA	0	3	NA	4	NA	17.2	NA	NA
222	Övre_Björntjärn	2012-07-02//14:00:00	23	382	NA	1	1	NA	2	NA	18.1	NA	NA
223	Övre_Björntjärn	2012-07-16//14:00:00	18	433	NA	1	12	NA	4	NA	20.7	NA	NA
224	Övre_Björntjärn	2012-07-31//14:00:00	19	457	NA	2	9	NA	7	NA	21.3	NA	NA
225	Övre_Björntjärn	2012-08-11//14:00:00	25	443	NA	0	7	NA	4	NA	23.2	NA	NA
226	Övre_Björntjärn	2012-08-27//14:00:00	23	437	NA	10	22	NA	10	NA	21.2	NA	NA
227	Övre_Björntjärn	2012-09-10//14:00:00	25	494	NA	8	5	NA	7	NA	28.7	NA	NA
228	Övre_Björntjärn	2012-09-25//14:00:00	26	498	NA	7	14	NA	10	NA	27.4	NA	NA
229	Övre_Björntjärn	2012-10-08//14:00:00	27	579	NA	10	8	NA	19	NA	30.7	NA	NA
230	Struptjärn	2012-03-28//10:00:00	11	550	NA	6	32	NA	61	NA	20.3	NA	NA
231	Struptjärn	2012-05-31//10:00:00	32	371	NA	3	5	NA	8	NA	17.9	NA	NA
232	Struptjärn	2012-06-13//10:00:00	17	408	NA	4	6	NA	11	NA	16.9	NA	NA
233	Struptjärn	2012-06-26//10:00:00	19	383	NA	4	6	NA	10	NA	16.7	NA	NA
234	Struptjärn	2012-07-10//10:00:00	23	394	NA	4	11	NA	3	NA	17.2	NA	NA
235	Struptjärn	2012-07-24//10:00:00	31	404	NA	1	7	NA	9	NA	16.3	NA	NA
236	Struptjärn	2012-08-07//10:00:00	28	409	NA	2	7	NA	4	NA	15.5	NA	NA
237	Struptjärn	2012-08-21//10:00:00	30	433	NA	2	4	NA	10	NA	19.7	NA	NA
238	Struptjärn	2012-09-06//10:00:00	25	482	NA	2	6	NA	12	NA	25.1	NA	NA
239	Struptjärn	2012-09-16//10:00:00	22	466	NA	1	5	NA	13	NA	25.4	NA	NA
240	Struptjärn	2012-10-02//10:00:00	27	582	NA	2	8	NA	3	NA	26.0	NA	NA
241	Mångstrettjärn	2013-04-04//10:00:00	18	412	NA	9	2	NA	94	NA	13.1	NA	NA
242	Mångstrettjärn	2013-05-14//10:00:00	14	271	NA	5	1	NA	2	NA	12.3	NA	NA
243	Mångstrettjärn	2013-05-28//10:00:00	15	236	NA	0	5	NA	5	NA	12.1	NA	NA
244	Mångstrettjärn	2013-06-11//10:00:00	9	297	NA	0	4	NA	1	NA	12	NA	NA
245	Mångstrettjärn	2013-06-25//10:00:00	9	325	NA	5	0	NA	1	NA	12.4	NA	NA
246	Mångstrettjärn	2013-07-09//10:00:00	9	326	NA	0	5	NA	3	NA	12.3	NA	NA
247	Mångstrettjärn	2013-07-23//10:00:00	11	271	NA	0	4	NA	6	NA	12.3	NA	NA
248	Mångstrettjärn	2013-08-06//10:00:00	11	330	NA	0	1	NA	1	NA	11.2	NA	NA
249	Mångstrettjärn	2013-08-20//10:00:00	11	319	NA	2	7	NA	2	NA	10.9	NA	NA
250	Mångstrettjärn	2013-09-03//10:00:00	10	492	NA	0	10	NA	21	NA	11.6	NA	NA
251	Mångstrettjärn	2013-09-17//10:00:00	9	359	NA	1	11	NA	12	NA	11.6	NA	NA
252	Mångstrettjärn	2013-10-01//10:00:00	14	359	NA	3	19	NA	6	NA	12.1	NA	NA
253	Mångstrettjärn	2013-10-15//10:00:00	23	331	NA	12	31	NA	6	NA	12.9	NA	NA
254	Mendota	2016-01-27//00:00:00	87	1243	52	NA	NA	307	NA	NA	5.18	0	NA
255	Mendota	2016-01-27//00:00:00	81	NA	53	NA	NA	308	NA	NA	5.28	4	NA
256	Mendota	2016-01-27//00:00:00	81	1290	52	NA	NA	309	NA	NA	5.25	8	NA
257	Mendota	2016-01-27//00:00:00	81	1272	52	NA	NA	309	NA	NA	5.18	8	NA
258	Mendota	2016-01-27//00:00:00	80	NA	52	NA	NA	313	NA	NA	NA	12	NA
259	Mendota	2016-01-27//00:00:00	83	NA	53	NA	NA	338	NA	NA	NA	16	NA
260	Mendota	2016-01-27//00:00:00	111	1282	78	NA	NA	400	NA	NA	5.04	20	NA
261	Mendota	2016-03-28//00:00:00	81	NA	11	NA	NA	652	NA	NA	NA	0	NA
262	Mendota	2016-03-28//00:00:00	89	NA	10	NA	NA	650	NA	NA	NA	4	NA
263	Mendota	2016-04-12//00:00:00	51	1231	10	NA	NA	646	NA	NA	4.68	0	NA
264	Mendota	2016-04-12//00:00:00	70	NA	11	NA	NA	646	NA	NA	4.51	4	NA
265	Mendota	2016-04-12//00:00:00	63	1407	11	NA	NA	644	NA	NA	4.48	8	NA
266	Mendota	2016-04-12//00:00:00	70	NA	12	NA	NA	640	NA	NA	4.53	12	NA
267	Mendota	2016-04-12//00:00:00	70	NA	14	NA	NA	645	NA	NA	4.59	16	NA
268	Mendota	2016-04-12//00:00:00	65	1370	13	NA	NA	645	NA	NA	4.64	20	NA
269	Mendota	2016-04-12//00:00:00	65	1306	13	NA	NA	645	NA	NA	4.55	20	NA
270	Mendota	2016-04-25//00:00:00	39	NA	0	NA	0	506	NA	NA	NA	0	NA
271	Mendota	2016-04-25//00:00:00	54	NA	2	NA	NA	541	NA	NA	NA	4	NA
272	Mendota	2016-05-11//00:00:00	49	NA	28	NA	NA	565	NA	NA	4.88	0	NA
273	Mendota	2016-05-11//00:00:00	58	NA	27	NA	NA	564	NA	NA	4.62	4	NA
274	Mendota	2016-05-11//00:00:00	NA	NA	NA	NA	NA	NA	NA	NA	4.63	8	NA
275	Mendota	2016-05-11//00:00:00	NA	NA	NA	NA	NA	NA	NA	NA	4.82	12	NA
276	Mendota	2016-05-11//00:00:00	NA	NA	NA	NA	NA	NA	NA	NA	4.79	16	NA
277	Mendota	2016-05-11//00:00:00	73	NA	39	NA	NA	551	NA	NA	4.75	20	NA
278	Mendota	2016-05-11//00:00:00	73	NA	39	NA	NA	551	NA	NA	4.63	20	NA
279	Mendota	2016-05-23//00:00:00	45	NA	17	NA	NA	523	NA	NA	NA	0	NA
280	Mendota	2016-05-23//00:00:00	55	NA	18	NA	NA	521	NA	NA	NA	4	NA
281	Mendota	2016-06-07//00:00:00	23	NA	0	NA	NA	315	NA	NA	4.91	0	NA
282	Mendota	2016-06-07//00:00:00	49	NA	0	NA	NA	338	NA	NA	4.88	4	NA
283	Mendota	2016-06-07//00:00:00	39	NA	2	NA	NA	375	NA	NA	4.82	8	NA
284	Mendota	2016-06-07//00:00:00	92	NA	45	NA	NA	458	NA	NA	4.67	10	NA
285	Mendota	2016-06-07//00:00:00	92	NA	45	NA	NA	458	NA	NA	4.75	10	NA
286	Mendota	2016-06-07//00:00:00	104	NA	73	NA	NA	431	NA	NA	4.56	12	NA
287	Mendota	2016-06-07//00:00:00	113	NA	79	NA	NA	442	NA	NA	4.63	14	NA
288	Mendota	2016-06-07//00:00:00	112	NA	81	NA	NA	459	NA	NA	4.76	16	NA
289	Mendota	2016-06-07//00:00:00	124	NA	91	NA	NA	441	NA	NA	4.55	18	NA
290	Mendota	2016-06-07//00:00:00	170	NA	132	NA	NA	382	NA	NA	4.82	20	NA
291	Mendota	2016-06-07//00:00:00	185	NA	147	NA	NA	367	NA	NA	4.69	22	NA
292	Mendota	2016-06-20//00:00:00	26	NA	0	NA	NA	323	NA	NA	NA	0	NA
293	Mendota	2016-06-20//00:00:00	24	NA	0	NA	NA	320	NA	NA	NA	4	NA
294	Mendota	2016-07-05//00:00:00	26	NA	0	NA	NA	38	NA	NA	4.87	0	NA
295	Mendota	2016-07-05//00:00:00	28	NA	0	NA	NA	35	NA	NA	4.69	4	NA
296	Mendota	2016-07-05//00:00:00	27	NA	0	NA	NA	301	NA	NA	4.68	8	NA
297	Mendota	2016-07-05//00:00:00	NA	NA	NA	NA	NA	NA	NA	NA	4.63	10	NA
298	Mendota	2016-07-05//00:00:00	184	NA	133	NA	NA	286	NA	NA	4.89	12	NA
299	Mendota	2016-07-05//00:00:00	205	NA	156	NA	NA	336	NA	NA	4.65	14	NA
300	Mendota	2016-07-05//00:00:00	242	NA	181	NA	NA	223	NA	NA	4.95	16	NA
301	Mendota	2016-07-05//00:00:00	242	NA	181	NA	NA	223	NA	NA	4.77	16	NA
302	Mendota	2016-07-05//00:00:00	302	NA	217	NA	NA	0	NA	NA	4.69	18	NA
303	Mendota	2016-07-05//00:00:00	365	NA	278	NA	NA	0	NA	NA	4.84	20	NA
304	Mendota	2016-07-05//00:00:00	550	NA	288	NA	NA	0	NA	NA	4.8	22	NA
305	Mendota	2016-07-18//00:00:00	22	NA	0	NA	0	0	NA	NA	NA	0	NA
306	Mendota	2016-07-18//00:00:00	23	NA	0	NA	0	0	NA	NA	NA	4	NA
307	Mendota	2016-08-01//00:00:00	22	489	0	NA	NA	0	NA	NA	4.85	0	NA
308	Mendota	2016-08-01//00:00:00	21	603	2	NA	0	0	NA	NA	4.61	4	NA
309	Mendota	2016-08-01//00:00:00	NA	529	NA	NA	NA	NA	NA	NA	4.78	6	NA
310	Mendota	2016-08-01//00:00:00	24	740	3	NA	NA	24	NA	NA	4.62	8	NA
311	Mendota	2016-08-01//00:00:00	24	717	3	NA	NA	24	NA	NA	4.57	8	NA
312	Mendota	2016-08-01//00:00:00	22	NA	2	NA	NA	0	NA	NA	4.56	10	NA
313	Mendota	2016-08-01//00:00:00	89	1207	37	NA	NA	0	NA	NA	4.69	12	NA
314	Mendota	2016-08-01//00:00:00	174	NA	117	NA	NA	0	NA	NA	4.65	14	NA
315	Mendota	2016-08-01//00:00:00	288	1760	214	NA	NA	0	NA	NA	4.73	16	NA
316	Mendota	2016-08-01//00:00:00	321	NA	241	NA	NA	0	NA	NA	4.71	18	NA
317	Mendota	2016-08-01//00:00:00	359	2212	276	NA	NA	0	NA	NA	4.83	20	NA
318	Mendota	2016-08-01//00:00:00	371	2161	291	NA	NA	0	NA	NA	4.8	22	NA
319	Mendota	2016-08-15//00:00:00	23	NA	2	NA	0	0	NA	NA	NA	0	NA
320	Mendota	2016-08-15//00:00:00	14	NA	0	NA	0	0	NA	NA	NA	4	NA
321	Mendota	2016-08-30//00:00:00	18	NA	4	NA	0	0	NA	NA	4.36	0	NA
322	Mendota	2016-08-30//00:00:00	22	NA	3	NA	0	0	NA	NA	4.27	4	NA
323	Mendota	2016-08-30//00:00:00	NA	NA	NA	NA	NA	NA	NA	NA	4.37	8	NA
324	Mendota	2016-08-30//00:00:00	NA	NA	NA	NA	NA	NA	NA	NA	4.19	10	NA
325	Mendota	2016-08-30//00:00:00	118	NA	85	NA	NA	0	NA	NA	4.19	12	NA
326	Mendota	2016-08-30//00:00:00	118	NA	85	NA	NA	0	NA	NA	4.22	12	NA
327	Mendota	2016-08-30//00:00:00	NA	NA	NA	NA	NA	NA	NA	NA	4.15	14	NA
328	Mendota	2016-08-30//00:00:00	302	NA	242	NA	NA	0	NA	NA	4.31	16	NA
329	Mendota	2016-08-30//00:00:00	NA	NA	NA	NA	NA	NA	NA	NA	4.21	18	NA
330	Mendota	2016-08-30//00:00:00	431	NA	343	NA	NA	0	NA	NA	4.32	20	NA
331	Mendota	2016-08-30//00:00:00	NA	NA	NA	NA	NA	NA	NA	NA	4.28	22	NA
332	Mendota	2016-10-04//00:00:00	38	NA	5	NA	NA	0	NA	NA	4.49	0	NA
333	Mendota	2016-10-04//00:00:00	35	NA	5	NA	NA	0	NA	NA	4.28	4	NA
334	Mendota	2016-10-04//00:00:00	35	NA	5	NA	NA	0	NA	NA	4.44	4	NA
335	Mendota	2016-10-04//00:00:00	NA	NA	NA	NA	NA	NA	NA	NA	4.34	8	NA
336	Mendota	2016-10-04//00:00:00	432	NA	383	NA	NA	0	NA	NA	4.45	20	NA
337	Mendota	2016-11-09//00:00:00	86	769	50	NA	0	0	NA	NA	4.56	0	NA
338	Mendota	2016-11-09//00:00:00	86	843	50	NA	0	0	NA	NA	4.4	0	NA
339	Mendota	2016-11-09//00:00:00	86	888	50	NA	NA	35	NA	NA	4.57	4	NA
340	Mendota	2016-11-09//00:00:00	NA	NA	NA	NA	NA	NA	NA	NA	4.47	8	NA
341	Mendota	2016-11-09//00:00:00	388	2377	270	NA	NA	0	NA	NA	4.58	20	NA
